cue1pos,cue2lag,ltrCoords,ltrEccentricity,trialNumOriginal
14,2,"[1, 0]",3.0,38
18,2,"[-1, 0]",3.0,169
6,2,"[-1, 0]",10.0,261
18,2,"[1, 0]",10.0,94
18,2,"[-1, 0]",10.0,234
14,2,"[1, 0]",3.0,33
6,2,"[1, 0]",10.0,91
22,2,"[1, 0]",3.0,15
22,2,"[-1, 0]",10.0,270
10,2,"[1, 0]",3.0,2
22,2,"[-1, 0]",3.0,170
22,2,"[-1, 0]",3.0,165
14,2,"[1, 0]",10.0,138
14,2,"[1, 0]",10.0,93
10,2,"[1, 0]",3.0,57
6,2,"[-1, 0]",10.0,251
14,2,"[1, 0]",10.0,73
18,2,"[-1, 0]",3.0,209
6,2,"[1, 0]",3.0,11
18,2,"[1, 0]",10.0,124
6,2,"[1, 0]",3.0,16
6,2,"[-1, 0]",3.0,166
22,2,"[1, 0]",10.0,95
14,2,"[1, 0]",10.0,128
6,2,"[1, 0]",10.0,111
14,2,"[-1, 0]",3.0,193
22,2,"[1, 0]",10.0,110
14,2,"[-1, 0]",10.0,253
22,2,"[-1, 0]",10.0,280
22,2,"[1, 0]",3.0,50
10,2,"[-1, 0]",3.0,177
22,2,"[-1, 0]",3.0,195
6,2,"[1, 0]",3.0,26
6,2,"[1, 0]",10.0,131
10,2,"[1, 0]",10.0,127
14,2,"[1, 0]",3.0,63
22,2,"[-1, 0]",10.0,225
10,2,"[-1, 0]",3.0,157
18,2,"[1, 0]",3.0,19
18,2,"[1, 0]",10.0,74
14,2,"[-1, 0]",3.0,153
6,2,"[-1, 0]",10.0,221
18,2,"[1, 0]",3.0,4
6,2,"[1, 0]",3.0,46
18,2,"[1, 0]",10.0,99
22,2,"[1, 0]",10.0,135
10,2,"[-1, 0]",10.0,242
18,2,"[-1, 0]",10.0,259
22,2,"[-1, 0]",3.0,160
18,2,"[-1, 0]",3.0,164
22,2,"[-1, 0]",3.0,175
14,2,"[-1, 0]",10.0,263
6,2,"[1, 0]",10.0,106
18,2,"[-1, 0]",10.0,239
10,2,"[-1, 0]",10.0,222
18,2,"[-1, 0]",3.0,189
14,2,"[1, 0]",10.0,78
10,2,"[-1, 0]",3.0,187
10,2,"[-1, 0]",10.0,227
6,2,"[-1, 0]",10.0,236
6,2,"[-1, 0]",3.0,191
6,2,"[-1, 0]",10.0,246
6,2,"[1, 0]",3.0,56
14,2,"[1, 0]",3.0,48
18,2,"[1, 0]",10.0,129
14,2,"[-1, 0]",3.0,208
10,2,"[1, 0]",10.0,97
18,2,"[1, 0]",10.0,104
14,2,"[-1, 0]",3.0,158
22,2,"[1, 0]",3.0,10
