cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
22,2,"[-1, 0]",0,80
6,2,"[1, 0]",0,41
18,2,"[-1, 0]",0,235
6,2,"[1, 0]",0,21
10,2,"[1, 0]",0,105
10,2,"[-1, 0]",0,7
14,2,"[-1, 0]",0,231
22,2,"[1, 0]",0,98
22,2,"[1, 0]",0,37
10,2,"[-1, 0]",0,188
22,2,"[1, 0]",0,237
6,2,"[-1, 0]",0,183
10,2,"[1, 0]",0,45
22,2,"[1, 0]",0,278
10,2,"[-1, 0]",0,87
18,2,"[-1, 0]",0,115
22,2,"[-1, 0]",0,240
22,2,"[-1, 0]",0,139
18,2,"[-1, 0]",0,215
22,2,"[-1, 0]",0,199
18,2,"[-1, 0]",0,96
22,2,"[-1, 0]",0,140
6,2,"[-1, 0]",0,223
18,2,"[-1, 0]",0,75
14,2,"[1, 0]",0,10
18,2,"[-1, 0]",0,95
14,2,"[1, 0]",0,269
22,2,"[-1, 0]",0,19
18,2,"[-1, 0]",0,76
14,2,"[-1, 0]",0,212
22,2,"[-1, 0]",0,259
14,2,"[1, 0]",0,70
22,2,"[-1, 0]",0,39
6,2,"[-1, 0]",0,224
6,2,"[-1, 0]",0,64
6,2,"[1, 0]",0,101
10,2,"[1, 0]",0,66
6,2,"[1, 0]",0,121
22,2,"[1, 0]",0,277
18,2,"[1, 0]",0,193
14,2,"[-1, 0]",0,72
22,2,"[-1, 0]",0,100
22,2,"[1, 0]",0,177
14,2,"[-1, 0]",0,112
6,2,"[-1, 0]",0,143
10,2,"[-1, 0]",0,267
14,2,"[-1, 0]",0,31
10,2,"[-1, 0]",0,107
6,2,"[1, 0]",0,221
14,2,"[-1, 0]",0,12
18,2,"[1, 0]",0,233
6,2,"[1, 0]",0,261
18,2,"[-1, 0]",0,156
10,2,"[1, 0]",0,85
10,2,"[1, 0]",0,146
10,2,"[-1, 0]",0,47
22,2,"[-1, 0]",0,220
14,2,"[-1, 0]",0,251
18,2,"[-1, 0]",0,275
22,2,"[1, 0]",0,18
6,2,"[1, 0]",0,161
18,2,"[1, 0]",0,134
10,2,"[1, 0]",0,145
18,2,"[-1, 0]",0,276
6,2,"[1, 0]",0,61
22,2,"[-1, 0]",0,219
14,2,"[1, 0]",0,90
6,2,"[-1, 0]",0,203
10,2,"[1, 0]",0,25
22,2,"[1, 0]",0,217
18,2,"[1, 0]",0,173
14,2,"[-1, 0]",0,92
6,2,"[1, 0]",0,202
14,2,"[1, 0]",0,129
18,2,"[1, 0]",0,113
18,2,"[1, 0]",0,194
14,2,"[1, 0]",0,250
14,2,"[-1, 0]",0,151
14,2,"[-1, 0]",0,232
14,2,"[1, 0]",0,209
10,2,"[-1, 0]",0,127
6,2,"[-1, 0]",0,263
18,2,"[-1, 0]",0,216
10,2,"[-1, 0]",0,27
10,2,"[-1, 0]",0,247
22,2,"[1, 0]",0,257
14,2,"[1, 0]",0,89
6,2,"[1, 0]",0,242
18,2,"[1, 0]",0,174
22,2,"[-1, 0]",0,120
18,2,"[1, 0]",0,154
10,2,"[1, 0]",0,126
22,2,"[-1, 0]",0,280
22,2,"[-1, 0]",0,239
18,2,"[-1, 0]",0,55
18,2,"[1, 0]",0,74
14,2,"[-1, 0]",0,252
14,2,"[1, 0]",0,149
10,2,"[1, 0]",0,86
10,2,"[-1, 0]",0,88
6,2,"[1, 0]",0,102
14,2,"[1, 0]",0,169
10,2,"[-1, 0]",0,68
22,2,"[1, 0]",0,198
14,2,"[-1, 0]",0,111
18,2,"[1, 0]",0,114
10,2,"[-1, 0]",0,67
6,2,"[-1, 0]",0,3
10,2,"[1, 0]",0,106
6,2,"[1, 0]",0,222
14,2,"[-1, 0]",0,272
18,2,"[1, 0]",0,214
22,2,"[1, 0]",0,77
14,2,"[-1, 0]",0,71
14,2,"[1, 0]",0,189
18,2,"[1, 0]",0,34
18,2,"[-1, 0]",0,135
22,2,"[-1, 0]",0,180
18,2,"[1, 0]",0,253
10,2,"[-1, 0]",0,168
6,2,"[1, 0]",0,122
10,2,"[1, 0]",0,205
22,2,"[-1, 0]",0,179
6,2,"[-1, 0]",0,243
22,2,"[1, 0]",0,78
18,2,"[-1, 0]",0,15
10,2,"[-1, 0]",0,208
6,2,"[-1, 0]",0,184
10,2,"[1, 0]",0,265
22,2,"[-1, 0]",0,260
14,2,"[-1, 0]",0,171
6,2,"[1, 0]",0,182
10,2,"[-1, 0]",0,128
14,2,"[1, 0]",0,270
6,2,"[1, 0]",0,42
10,2,"[-1, 0]",0,28
6,2,"[-1, 0]",0,244
18,2,"[1, 0]",0,213
10,2,"[-1, 0]",0,8
14,2,"[-1, 0]",0,131
18,2,"[-1, 0]",0,56
14,2,"[1, 0]",0,30
18,2,"[1, 0]",0,53
14,2,"[1, 0]",0,9
10,2,"[1, 0]",0,46
22,2,"[1, 0]",0,258
22,2,"[-1, 0]",0,79
10,2,"[-1, 0]",0,148
6,2,"[-1, 0]",0,264
14,2,"[1, 0]",0,229
22,2,"[1, 0]",0,158
10,2,"[-1, 0]",0,268
18,2,"[-1, 0]",0,195
10,2,"[-1, 0]",0,228
22,2,"[1, 0]",0,17
22,2,"[-1, 0]",0,279
22,2,"[1, 0]",0,138
6,2,"[-1, 0]",0,63
14,2,"[-1, 0]",0,271
6,2,"[-1, 0]",0,23
10,2,"[1, 0]",0,165
18,2,"[1, 0]",0,14
6,2,"[-1, 0]",0,4
22,2,"[1, 0]",0,178
18,2,"[1, 0]",0,133
10,2,"[1, 0]",0,125
22,2,"[-1, 0]",0,119
22,2,"[1, 0]",0,118
6,2,"[-1, 0]",0,43
10,2,"[-1, 0]",0,187
6,2,"[1, 0]",0,2
6,2,"[-1, 0]",0,24
14,2,"[-1, 0]",0,91
14,2,"[1, 0]",0,210
18,2,"[1, 0]",0,254
10,2,"[1, 0]",0,225
18,2,"[1, 0]",0,153
10,2,"[1, 0]",0,206
18,2,"[1, 0]",0,54
6,2,"[1, 0]",0,82
14,2,"[-1, 0]",0,11
14,2,"[1, 0]",0,190
14,2,"[-1, 0]",0,192
6,2,"[-1, 0]",0,164
18,2,"[1, 0]",0,274
18,2,"[1, 0]",0,93
14,2,"[1, 0]",0,110
10,2,"[1, 0]",0,6
14,2,"[1, 0]",0,230
6,2,"[1, 0]",0,241
22,2,"[1, 0]",0,58
22,2,"[-1, 0]",0,160
6,2,"[1, 0]",0,181
22,2,"[1, 0]",0,137
14,2,"[1, 0]",0,130
14,2,"[-1, 0]",0,191
14,2,"[-1, 0]",0,152
14,2,"[1, 0]",0,170
10,2,"[1, 0]",0,266
22,2,"[1, 0]",0,117
22,2,"[1, 0]",0,218
10,2,"[1, 0]",0,26
14,2,"[-1, 0]",0,52
22,2,"[1, 0]",0,197
6,2,"[1, 0]",0,141
14,2,"[1, 0]",0,29
6,2,"[-1, 0]",0,204
14,2,"[-1, 0]",0,172
6,2,"[-1, 0]",0,123
22,2,"[-1, 0]",0,60
18,2,"[1, 0]",0,273
18,2,"[-1, 0]",0,255
6,2,"[1, 0]",0,81
10,2,"[1, 0]",0,166
6,2,"[1, 0]",0,22
14,2,"[-1, 0]",0,211
14,2,"[1, 0]",0,150
18,2,"[1, 0]",0,94
18,2,"[-1, 0]",0,36
18,2,"[-1, 0]",0,116
6,2,"[1, 0]",0,162
10,2,"[1, 0]",0,5
6,2,"[-1, 0]",0,163
10,2,"[-1, 0]",0,147
18,2,"[-1, 0]",0,236
18,2,"[-1, 0]",0,155
22,2,"[-1, 0]",0,40
6,2,"[1, 0]",0,142
14,2,"[1, 0]",0,109
10,2,"[-1, 0]",0,207
10,2,"[1, 0]",0,65
6,2,"[1, 0]",0,1
6,2,"[-1, 0]",0,44
22,2,"[1, 0]",0,38
18,2,"[-1, 0]",0,256
22,2,"[-1, 0]",0,99
10,2,"[-1, 0]",0,167
10,2,"[1, 0]",0,226
22,2,"[-1, 0]",0,59
14,2,"[1, 0]",0,249
6,2,"[-1, 0]",0,103
10,2,"[1, 0]",0,245
6,2,"[-1, 0]",0,104
14,2,"[-1, 0]",0,132
22,2,"[1, 0]",0,238
22,2,"[-1, 0]",0,159
14,2,"[-1, 0]",0,32
10,2,"[-1, 0]",0,108
18,2,"[-1, 0]",0,35
18,2,"[1, 0]",0,33
18,2,"[1, 0]",0,234
6,2,"[-1, 0]",0,84
10,2,"[-1, 0]",0,248
22,2,"[1, 0]",0,157
10,2,"[-1, 0]",0,48
18,2,"[1, 0]",0,73
18,2,"[-1, 0]",0,176
22,2,"[1, 0]",0,97
6,2,"[1, 0]",0,201
14,2,"[1, 0]",0,69
18,2,"[-1, 0]",0,175
6,2,"[-1, 0]",0,124
18,2,"[1, 0]",0,13
14,2,"[1, 0]",0,49
18,2,"[-1, 0]",0,196
18,2,"[-1, 0]",0,16
10,2,"[1, 0]",0,246
22,2,"[-1, 0]",0,200
6,2,"[-1, 0]",0,144
10,2,"[-1, 0]",0,227
6,2,"[1, 0]",0,62
14,2,"[-1, 0]",0,51
6,2,"[1, 0]",0,262
6,2,"[-1, 0]",0,83
22,2,"[1, 0]",0,57
10,2,"[1, 0]",0,185
22,2,"[-1, 0]",0,20
10,2,"[1, 0]",0,186
14,2,"[1, 0]",0,50
18,2,"[-1, 0]",0,136
