cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
10,2,"[-1, 0]",2,127
14,2,"[1, 0]",10,250
22,2,"[-1, 0]",10,100
6,2,"[1, 0]",10,122
10,2,"[-1, 0]",2,167
10,2,"[-1, 0]",2,207
22,2,"[-1, 0]",2,59
22,2,"[1, 0]",10,258
14,2,"[1, 0]",10,190
10,2,"[-1, 0]",2,47
22,2,"[-1, 0]",10,280
18,2,"[-1, 0]",2,235
14,2,"[-1, 0]",10,232
22,2,"[1, 0]",10,178
14,2,"[1, 0]",2,9
22,2,"[1, 0]",10,278
14,2,"[1, 0]",10,130
6,2,"[-1, 0]",10,104
18,2,"[-1, 0]",10,16
22,2,"[-1, 0]",10,140
14,2,"[1, 0]",10,10
18,2,"[-1, 0]",2,155
22,2,"[-1, 0]",2,79
14,2,"[1, 0]",10,230
14,2,"[-1, 0]",10,132
10,2,"[1, 0]",10,266
22,2,"[-1, 0]",10,160
10,2,"[1, 0]",2,245
10,2,"[-1, 0]",10,8
6,2,"[1, 0]",2,261
18,2,"[1, 0]",2,33
6,2,"[-1, 0]",2,63
14,2,"[1, 0]",10,270
6,2,"[-1, 0]",2,103
14,2,"[-1, 0]",2,171
6,2,"[1, 0]",10,142
10,2,"[-1, 0]",10,228
6,2,"[-1, 0]",2,243
10,2,"[-1, 0]",2,227
10,2,"[1, 0]",2,165
14,2,"[-1, 0]",10,12
22,2,"[1, 0]",10,98
14,2,"[1, 0]",10,210
22,2,"[-1, 0]",10,20
18,2,"[1, 0]",2,233
22,2,"[-1, 0]",2,119
14,2,"[1, 0]",2,269
6,2,"[1, 0]",2,41
18,2,"[-1, 0]",10,216
6,2,"[1, 0]",2,241
6,2,"[1, 0]",2,201
18,2,"[-1, 0]",10,236
18,2,"[-1, 0]",2,35
6,2,"[-1, 0]",10,44
14,2,"[-1, 0]",10,192
22,2,"[-1, 0]",10,80
10,2,"[-1, 0]",10,108
10,2,"[-1, 0]",2,147
6,2,"[-1, 0]",2,143
22,2,"[1, 0]",10,78
14,2,"[-1, 0]",2,51
6,2,"[1, 0]",2,181
6,2,"[1, 0]",10,162
10,2,"[1, 0]",2,145
6,2,"[1, 0]",10,82
6,2,"[-1, 0]",2,203
6,2,"[-1, 0]",10,244
18,2,"[1, 0]",10,174
10,2,"[-1, 0]",10,88
14,2,"[-1, 0]",10,52
10,2,"[-1, 0]",2,267
18,2,"[1, 0]",10,234
18,2,"[1, 0]",2,133
22,2,"[-1, 0]",10,40
6,2,"[1, 0]",2,161
18,2,"[1, 0]",10,274
10,2,"[1, 0]",10,26
18,2,"[-1, 0]",10,76
6,2,"[-1, 0]",2,3
6,2,"[1, 0]",10,222
18,2,"[-1, 0]",2,75
18,2,"[1, 0]",2,253
22,2,"[1, 0]",10,238
10,2,"[1, 0]",2,5
18,2,"[-1, 0]",2,275
14,2,"[-1, 0]",10,272
10,2,"[1, 0]",10,126
14,2,"[1, 0]",10,90
14,2,"[1, 0]",2,249
22,2,"[1, 0]",2,177
14,2,"[1, 0]",10,50
18,2,"[1, 0]",10,154
6,2,"[1, 0]",10,102
18,2,"[1, 0]",10,54
14,2,"[-1, 0]",2,71
14,2,"[-1, 0]",10,152
22,2,"[1, 0]",10,38
14,2,"[-1, 0]",2,271
10,2,"[1, 0]",2,265
6,2,"[-1, 0]",10,4
22,2,"[-1, 0]",2,99
6,2,"[1, 0]",2,1
22,2,"[-1, 0]",2,159
14,2,"[-1, 0]",2,211
6,2,"[1, 0]",2,121
18,2,"[1, 0]",2,13
10,2,"[-1, 0]",10,168
6,2,"[-1, 0]",10,124
22,2,"[-1, 0]",10,120
10,2,"[-1, 0]",10,268
14,2,"[-1, 0]",10,92
10,2,"[1, 0]",2,25
18,2,"[1, 0]",10,254
22,2,"[-1, 0]",10,240
22,2,"[1, 0]",10,118
22,2,"[-1, 0]",2,39
22,2,"[1, 0]",10,138
18,2,"[1, 0]",2,53
10,2,"[1, 0]",2,225
10,2,"[-1, 0]",10,208
10,2,"[1, 0]",10,146
14,2,"[-1, 0]",2,131
10,2,"[1, 0]",2,65
10,2,"[-1, 0]",2,87
18,2,"[-1, 0]",2,115
14,2,"[1, 0]",10,110
18,2,"[-1, 0]",2,55
14,2,"[-1, 0]",2,251
6,2,"[-1, 0]",10,224
18,2,"[1, 0]",2,73
14,2,"[-1, 0]",10,72
18,2,"[1, 0]",2,173
22,2,"[1, 0]",2,277
14,2,"[1, 0]",2,209
18,2,"[1, 0]",10,74
18,2,"[-1, 0]",10,256
18,2,"[-1, 0]",2,15
14,2,"[1, 0]",2,169
18,2,"[-1, 0]",2,135
6,2,"[1, 0]",10,22
6,2,"[-1, 0]",10,24
22,2,"[-1, 0]",2,199
10,2,"[1, 0]",10,186
10,2,"[1, 0]",10,66
6,2,"[-1, 0]",10,184
18,2,"[1, 0]",10,214
10,2,"[-1, 0]",2,27
14,2,"[1, 0]",2,189
10,2,"[1, 0]",10,166
22,2,"[1, 0]",2,57
22,2,"[1, 0]",2,77
22,2,"[-1, 0]",2,19
6,2,"[1, 0]",10,182
6,2,"[1, 0]",2,81
6,2,"[-1, 0]",10,84
18,2,"[1, 0]",2,273
22,2,"[-1, 0]",2,259
10,2,"[1, 0]",10,106
10,2,"[-1, 0]",10,68
10,2,"[1, 0]",10,246
22,2,"[1, 0]",2,97
14,2,"[-1, 0]",2,91
6,2,"[-1, 0]",10,164
18,2,"[-1, 0]",10,96
18,2,"[1, 0]",2,193
6,2,"[-1, 0]",2,123
14,2,"[-1, 0]",10,252
14,2,"[1, 0]",10,170
18,2,"[1, 0]",2,93
18,2,"[1, 0]",10,14
14,2,"[-1, 0]",10,212
22,2,"[1, 0]",10,158
10,2,"[1, 0]",2,105
