cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
6,2,"[-1, 0]",2,183
18,2,"[-1, 0]",10,136
22,2,"[1, 0]",10,278
10,2,"[1, 0]",2,5
22,2,"[-1, 0]",10,60
6,2,"[-1, 0]",10,4
22,2,"[-1, 0]",2,79
18,2,"[-1, 0]",2,55
14,2,"[1, 0]",10,170
22,2,"[1, 0]",2,137
22,2,"[1, 0]",2,97
22,2,"[-1, 0]",2,199
14,2,"[1, 0]",2,49
6,2,"[1, 0]",2,21
14,2,"[-1, 0]",2,111
22,2,"[-1, 0]",10,200
10,2,"[-1, 0]",2,267
14,2,"[-1, 0]",2,31
6,2,"[1, 0]",2,121
10,2,"[1, 0]",10,226
10,2,"[1, 0]",10,126
6,2,"[-1, 0]",10,164
6,2,"[-1, 0]",10,64
18,2,"[1, 0]",2,193
6,2,"[-1, 0]",2,83
10,2,"[1, 0]",10,186
6,2,"[1, 0]",2,181
22,2,"[1, 0]",10,78
6,2,"[-1, 0]",2,23
18,2,"[1, 0]",2,73
10,2,"[1, 0]",2,225
6,2,"[-1, 0]",10,144
6,2,"[1, 0]",10,122
10,2,"[-1, 0]",2,87
10,2,"[-1, 0]",10,128
6,2,"[1, 0]",2,101
18,2,"[-1, 0]",2,175
6,2,"[1, 0]",10,262
10,2,"[1, 0]",10,86
6,2,"[-1, 0]",10,104
18,2,"[1, 0]",2,93
18,2,"[-1, 0]",10,56
6,2,"[1, 0]",10,242
18,2,"[1, 0]",10,194
18,2,"[-1, 0]",10,256
14,2,"[1, 0]",2,229
14,2,"[1, 0]",10,250
22,2,"[1, 0]",10,58
10,2,"[-1, 0]",2,47
14,2,"[1, 0]",10,270
6,2,"[-1, 0]",2,123
10,2,"[-1, 0]",10,88
14,2,"[-1, 0]",2,71
22,2,"[1, 0]",2,37
18,2,"[-1, 0]",10,116
10,2,"[-1, 0]",10,188
14,2,"[1, 0]",10,10
14,2,"[-1, 0]",2,271
18,2,"[-1, 0]",2,15
18,2,"[1, 0]",2,13
22,2,"[1, 0]",10,138
22,2,"[-1, 0]",10,280
18,2,"[-1, 0]",10,176
22,2,"[1, 0]",2,277
22,2,"[-1, 0]",10,160
18,2,"[-1, 0]",2,35
18,2,"[-1, 0]",10,156
6,2,"[1, 0]",2,221
6,2,"[-1, 0]",10,204
18,2,"[-1, 0]",2,255
22,2,"[1, 0]",10,158
10,2,"[1, 0]",2,105
14,2,"[-1, 0]",2,91
18,2,"[1, 0]",2,133
10,2,"[1, 0]",2,125
14,2,"[-1, 0]",2,171
22,2,"[-1, 0]",2,39
14,2,"[-1, 0]",10,112
10,2,"[-1, 0]",10,28
18,2,"[-1, 0]",2,275
14,2,"[1, 0]",2,269
14,2,"[-1, 0]",10,52
22,2,"[-1, 0]",2,219
14,2,"[1, 0]",10,50
6,2,"[1, 0]",10,142
6,2,"[-1, 0]",2,263
18,2,"[-1, 0]",2,155
18,2,"[1, 0]",2,153
10,2,"[1, 0]",10,106
10,2,"[1, 0]",2,65
14,2,"[1, 0]",2,169
6,2,"[1, 0]",2,1
6,2,"[-1, 0]",2,163
14,2,"[1, 0]",10,90
14,2,"[1, 0]",2,249
10,2,"[1, 0]",2,265
10,2,"[1, 0]",10,146
18,2,"[1, 0]",10,154
10,2,"[1, 0]",10,26
22,2,"[1, 0]",2,177
6,2,"[-1, 0]",2,243
