trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
160,"[-1, 0]",22,2,10
54,"[1, 0]",18,2,10
23,"[-1, 0]",6,2,2
213,"[1, 0]",18,2,2
64,"[-1, 0]",6,2,10
182,"[1, 0]",6,2,10
168,"[-1, 0]",10,2,10
70,"[1, 0]",14,2,10
280,"[-1, 0]",22,2,10
10,"[1, 0]",14,2,10
156,"[-1, 0]",18,2,10
93,"[1, 0]",18,2,2
95,"[-1, 0]",18,2,2
152,"[-1, 0]",14,2,10
51,"[-1, 0]",14,2,2
75,"[-1, 0]",18,2,2
60,"[-1, 0]",22,2,10
58,"[1, 0]",22,2,10
171,"[-1, 0]",14,2,2
87,"[-1, 0]",10,2,2
36,"[-1, 0]",18,2,10
163,"[-1, 0]",6,2,2
248,"[-1, 0]",10,2,10
272,"[-1, 0]",14,2,10
143,"[-1, 0]",6,2,2
117,"[1, 0]",22,2,2
22,"[1, 0]",6,2,10
100,"[-1, 0]",22,2,10
20,"[-1, 0]",22,2,10
89,"[1, 0]",14,2,2
210,"[1, 0]",14,2,10
136,"[-1, 0]",18,2,10
195,"[-1, 0]",18,2,2
206,"[1, 0]",10,2,10
122,"[1, 0]",6,2,10
62,"[1, 0]",6,2,10
4,"[-1, 0]",6,2,10
137,"[1, 0]",22,2,2
207,"[-1, 0]",10,2,2
259,"[-1, 0]",22,2,2
153,"[1, 0]",18,2,2
46,"[1, 0]",10,2,10
215,"[-1, 0]",18,2,2
101,"[1, 0]",6,2,2
216,"[-1, 0]",18,2,10
229,"[1, 0]",14,2,2
145,"[1, 0]",10,2,2
125,"[1, 0]",10,2,2
148,"[-1, 0]",10,2,10
245,"[1, 0]",10,2,2
205,"[1, 0]",10,2,2
97,"[1, 0]",22,2,2
68,"[-1, 0]",10,2,10
157,"[1, 0]",22,2,2
255,"[-1, 0]",18,2,2
127,"[-1, 0]",10,2,2
92,"[-1, 0]",14,2,10
40,"[-1, 0]",22,2,10
114,"[1, 0]",18,2,10
257,"[1, 0]",22,2,2
107,"[-1, 0]",10,2,2
278,"[1, 0]",22,2,10
16,"[-1, 0]",18,2,10
269,"[1, 0]",14,2,2
267,"[-1, 0]",10,2,2
174,"[1, 0]",18,2,10
31,"[-1, 0]",14,2,2
53,"[1, 0]",18,2,2
239,"[-1, 0]",22,2,2
220,"[-1, 0]",22,2,10
135,"[-1, 0]",18,2,2
266,"[1, 0]",10,2,10
231,"[-1, 0]",14,2,2
252,"[-1, 0]",14,2,10
254,"[1, 0]",18,2,10
142,"[1, 0]",6,2,10
138,"[1, 0]",22,2,10
273,"[1, 0]",18,2,2
141,"[1, 0]",6,2,2
221,"[1, 0]",6,2,2
146,"[1, 0]",10,2,10
185,"[1, 0]",10,2,2
240,"[-1, 0]",22,2,10
44,"[-1, 0]",6,2,10
41,"[1, 0]",6,2,2
15,"[-1, 0]",18,2,2
158,"[1, 0]",22,2,10
251,"[-1, 0]",14,2,2
261,"[1, 0]",6,2,2
279,"[-1, 0]",22,2,2
111,"[-1, 0]",14,2,2
172,"[-1, 0]",14,2,10
65,"[1, 0]",10,2,2
131,"[-1, 0]",14,2,2
263,"[-1, 0]",6,2,2
17,"[1, 0]",22,2,2
12,"[-1, 0]",14,2,10
66,"[1, 0]",10,2,10
49,"[1, 0]",14,2,2
246,"[1, 0]",10,2,10
274,"[1, 0]",18,2,10
159,"[-1, 0]",22,2,2
119,"[-1, 0]",22,2,2
34,"[1, 0]",18,2,10
270,"[1, 0]",14,2,10
45,"[1, 0]",10,2,2
33,"[1, 0]",18,2,2
30,"[1, 0]",14,2,10
164,"[-1, 0]",6,2,10
258,"[1, 0]",22,2,10
186,"[1, 0]",10,2,10
