cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
14,2,"[1, 0]",10,30
6,2,"[1, 0]",2,181
14,2,"[1, 0]",10,170
18,2,"[1, 0]",10,214
18,2,"[1, 0]",2,153
22,2,"[-1, 0]",2,39
6,2,"[1, 0]",10,62
18,2,"[-1, 0]",2,75
22,2,"[-1, 0]",2,79
6,2,"[1, 0]",2,1
18,2,"[1, 0]",10,274
22,2,"[-1, 0]",10,120
18,2,"[-1, 0]",2,175
22,2,"[-1, 0]",2,259
10,2,"[-1, 0]",2,127
10,2,"[1, 0]",10,26
22,2,"[-1, 0]",2,179
14,2,"[1, 0]",2,189
22,2,"[1, 0]",2,257
14,2,"[-1, 0]",2,231
10,2,"[-1, 0]",2,107
14,2,"[1, 0]",2,229
22,2,"[-1, 0]",10,200
22,2,"[-1, 0]",10,220
6,2,"[1, 0]",2,101
10,2,"[-1, 0]",10,228
18,2,"[-1, 0]",10,96
10,2,"[-1, 0]",2,167
10,2,"[-1, 0]",2,147
6,2,"[1, 0]",2,121
22,2,"[-1, 0]",10,100
18,2,"[1, 0]",10,154
14,2,"[1, 0]",10,150
18,2,"[1, 0]",2,13
18,2,"[-1, 0]",10,236
22,2,"[1, 0]",10,78
18,2,"[-1, 0]",10,56
22,2,"[-1, 0]",10,60
6,2,"[-1, 0]",2,3
22,2,"[-1, 0]",10,40
6,2,"[-1, 0]",10,264
6,2,"[1, 0]",2,161
22,2,"[1, 0]",10,198
14,2,"[1, 0]",2,89
14,2,"[1, 0]",2,69
6,2,"[-1, 0]",2,243
18,2,"[1, 0]",2,93
10,2,"[-1, 0]",10,88
18,2,"[-1, 0]",10,196
18,2,"[-1, 0]",2,55
18,2,"[-1, 0]",2,275
6,2,"[1, 0]",10,202
10,2,"[1, 0]",10,146
22,2,"[1, 0]",2,157
18,2,"[-1, 0]",2,195
22,2,"[-1, 0]",10,280
6,2,"[-1, 0]",2,123
14,2,"[1, 0]",2,29
14,2,"[-1, 0]",2,11
18,2,"[-1, 0]",10,116
10,2,"[-1, 0]",10,248
22,2,"[-1, 0]",10,180
22,2,"[-1, 0]",10,80
14,2,"[1, 0]",10,90
14,2,"[-1, 0]",10,72
10,2,"[-1, 0]",10,48
10,2,"[-1, 0]",10,68
10,2,"[1, 0]",2,185
14,2,"[1, 0]",10,250
22,2,"[1, 0]",2,77
10,2,"[-1, 0]",2,267
10,2,"[-1, 0]",2,27
18,2,"[-1, 0]",10,156
18,2,"[-1, 0]",10,76
14,2,"[1, 0]",2,269
22,2,"[1, 0]",10,18
18,2,"[1, 0]",2,213
6,2,"[-1, 0]",2,183
10,2,"[1, 0]",10,206
14,2,"[1, 0]",2,109
14,2,"[-1, 0]",10,92
22,2,"[1, 0]",2,217
14,2,"[-1, 0]",2,151
22,2,"[1, 0]",10,38
10,2,"[1, 0]",2,225
14,2,"[-1, 0]",10,12
22,2,"[1, 0]",2,197
6,2,"[1, 0]",2,221
14,2,"[1, 0]",10,50
10,2,"[-1, 0]",2,87
6,2,"[1, 0]",2,141
22,2,"[1, 0]",10,238
18,2,"[-1, 0]",2,215
14,2,"[-1, 0]",2,131
6,2,"[-1, 0]",2,163
14,2,"[1, 0]",2,209
22,2,"[-1, 0]",2,159
18,2,"[1, 0]",10,234
6,2,"[-1, 0]",10,164
14,2,"[-1, 0]",10,52
6,2,"[-1, 0]",2,263
