trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
193,"[-1, 0]",14,2,2
108,"[1, 0]",14,2,10
110,"[1, 0]",22,2,10
198,"[-1, 0]",14,2,2
248,"[-1, 0]",14,2,10
186,"[-1, 0]",6,2,2
87,"[1, 0]",10,2,10
113,"[1, 0]",14,2,10
129,"[1, 0]",18,2,10
256,"[-1, 0]",6,2,10
176,"[-1, 0]",6,2,2
29,"[1, 0]",18,2,2
1,"[1, 0]",6,2,2
116,"[1, 0]",6,2,10
63,"[1, 0]",14,2,2
230,"[-1, 0]",22,2,10
219,"[-1, 0]",18,2,10
278,"[-1, 0]",14,2,10
249,"[-1, 0]",18,2,10
166,"[-1, 0]",6,2,2
142,"[-1, 0]",10,2,2
237,"[-1, 0]",10,2,10
279,"[-1, 0]",18,2,10
213,"[-1, 0]",14,2,10
79,"[1, 0]",18,2,10
147,"[-1, 0]",10,2,2
233,"[-1, 0]",14,2,10
139,"[1, 0]",18,2,10
258,"[-1, 0]",14,2,10
121,"[1, 0]",6,2,10
159,"[-1, 0]",18,2,2
25,"[1, 0]",22,2,2
39,"[1, 0]",18,2,2
43,"[1, 0]",14,2,2
123,"[1, 0]",14,2,10
32,"[1, 0]",10,2,2
232,"[-1, 0]",10,2,10
277,"[-1, 0]",10,2,10
209,"[-1, 0]",18,2,2
20,"[1, 0]",22,2,2
88,"[1, 0]",14,2,10
95,"[1, 0]",22,2,10
124,"[1, 0]",18,2,10
115,"[1, 0]",22,2,10
157,"[-1, 0]",10,2,2
10,"[1, 0]",22,2,2
267,"[-1, 0]",10,2,10
179,"[-1, 0]",18,2,2
54,"[1, 0]",18,2,2
223,"[-1, 0]",14,2,10
220,"[-1, 0]",22,2,10
270,"[-1, 0]",22,2,10
90,"[1, 0]",22,2,10
104,"[1, 0]",18,2,10
211,"[-1, 0]",6,2,10
203,"[-1, 0]",14,2,2
216,"[-1, 0]",6,2,10
130,"[1, 0]",22,2,10
40,"[1, 0]",22,2,2
81,"[1, 0]",6,2,10
243,"[-1, 0]",14,2,10
175,"[-1, 0]",22,2,2
226,"[-1, 0]",6,2,10
128,"[1, 0]",14,2,10
125,"[1, 0]",22,2,10
280,"[-1, 0]",22,2,10
47,"[1, 0]",10,2,2
15,"[1, 0]",22,2,2
244,"[-1, 0]",18,2,10
6,"[1, 0]",6,2,2
46,"[1, 0]",6,2,2
94,"[1, 0]",18,2,10
153,"[-1, 0]",14,2,2
148,"[-1, 0]",14,2,2
260,"[-1, 0]",22,2,10
99,"[1, 0]",18,2,10
12,"[1, 0]",10,2,2
24,"[1, 0]",18,2,2
66,"[1, 0]",6,2,2
64,"[1, 0]",18,2,2
254,"[-1, 0]",18,2,10
17,"[1, 0]",10,2,2
72,"[1, 0]",10,2,10
245,"[-1, 0]",22,2,10
238,"[-1, 0]",14,2,10
75,"[1, 0]",22,2,10
276,"[-1, 0]",6,2,10
229,"[-1, 0]",18,2,10
149,"[-1, 0]",18,2,2
97,"[1, 0]",10,2,10
155,"[-1, 0]",22,2,2
2,"[1, 0]",10,2,2
22,"[1, 0]",10,2,2
91,"[1, 0]",6,2,10
152,"[-1, 0]",10,2,2
134,"[1, 0]",18,2,10
126,"[1, 0]",6,2,10
273,"[-1, 0]",14,2,10
9,"[1, 0]",18,2,2
224,"[-1, 0]",18,2,10
78,"[1, 0]",14,2,10
138,"[1, 0]",14,2,10
3,"[1, 0]",14,2,2
76,"[1, 0]",6,2,10
74,"[1, 0]",18,2,10
