trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
170,"[1, 0]",14,2,10
246,"[1, 0]",10,2,10
144,"[-1, 0]",6,2,10
231,"[-1, 0]",14,2,2
61,"[1, 0]",6,2,2
11,"[-1, 0]",14,2,2
208,"[-1, 0]",10,2,10
166,"[1, 0]",10,2,10
148,"[-1, 0]",10,2,10
34,"[1, 0]",18,2,10
191,"[-1, 0]",14,2,2
136,"[-1, 0]",18,2,10
276,"[-1, 0]",18,2,10
9,"[1, 0]",14,2,2
270,"[1, 0]",14,2,10
244,"[-1, 0]",6,2,10
97,"[1, 0]",22,2,2
59,"[-1, 0]",22,2,2
121,"[1, 0]",6,2,2
23,"[-1, 0]",6,2,2
84,"[-1, 0]",6,2,10
259,"[-1, 0]",22,2,2
149,"[1, 0]",14,2,2
107,"[-1, 0]",10,2,2
20,"[-1, 0]",22,2,10
27,"[-1, 0]",10,2,2
10,"[1, 0]",14,2,10
193,"[1, 0]",18,2,2
25,"[1, 0]",10,2,2
179,"[-1, 0]",22,2,2
237,"[1, 0]",22,2,2
4,"[-1, 0]",6,2,10
203,"[-1, 0]",6,2,2
120,"[-1, 0]",22,2,10
28,"[-1, 0]",10,2,10
110,"[1, 0]",14,2,10
124,"[-1, 0]",6,2,10
116,"[-1, 0]",18,2,10
192,"[-1, 0]",14,2,10
131,"[-1, 0]",14,2,2
53,"[1, 0]",18,2,2
186,"[1, 0]",10,2,10
207,"[-1, 0]",10,2,2
168,"[-1, 0]",10,2,10
119,"[-1, 0]",22,2,2
147,"[-1, 0]",10,2,2
78,"[1, 0]",22,2,10
64,"[-1, 0]",6,2,10
102,"[1, 0]",6,2,10
200,"[-1, 0]",22,2,10
164,"[-1, 0]",6,2,10
260,"[-1, 0]",22,2,10
251,"[-1, 0]",14,2,2
171,"[-1, 0]",14,2,2
180,"[-1, 0]",22,2,10
76,"[-1, 0]",18,2,10
126,"[1, 0]",10,2,10
32,"[-1, 0]",14,2,10
51,"[-1, 0]",14,2,2
233,"[1, 0]",18,2,2
267,"[-1, 0]",10,2,2
94,"[1, 0]",18,2,10
13,"[1, 0]",18,2,2
219,"[-1, 0]",22,2,2
227,"[-1, 0]",10,2,2
8,"[-1, 0]",10,2,10
263,"[-1, 0]",6,2,2
125,"[1, 0]",10,2,2
252,"[-1, 0]",14,2,10
117,"[1, 0]",22,2,2
73,"[1, 0]",18,2,2
210,"[1, 0]",14,2,10
235,"[-1, 0]",18,2,2
172,"[-1, 0]",14,2,10
130,"[1, 0]",14,2,10
70,"[1, 0]",14,2,10
19,"[-1, 0]",22,2,2
250,"[1, 0]",14,2,10
143,"[-1, 0]",6,2,2
232,"[-1, 0]",14,2,10
261,"[1, 0]",6,2,2
83,"[-1, 0]",6,2,2
185,"[1, 0]",10,2,2
277,"[1, 0]",22,2,2
224,"[-1, 0]",6,2,10
123,"[-1, 0]",6,2,2
197,"[1, 0]",22,2,2
115,"[-1, 0]",18,2,2
280,"[-1, 0]",22,2,10
265,"[1, 0]",10,2,2
90,"[1, 0]",14,2,10
68,"[-1, 0]",10,2,10
181,"[1, 0]",6,2,2
274,"[1, 0]",18,2,10
31,"[-1, 0]",14,2,2
39,"[-1, 0]",22,2,2
234,"[1, 0]",18,2,10
7,"[-1, 0]",10,2,2
177,"[1, 0]",22,2,2
217,"[1, 0]",22,2,2
253,"[1, 0]",18,2,2
154,"[1, 0]",18,2,10
209,"[1, 0]",14,2,2
49,"[1, 0]",14,2,2
