cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
14,2,"[1, 0]",2,149
6,2,"[1, 0]",2,221
18,2,"[-1, 0]",2,155
14,2,"[-1, 0]",2,52
22,2,"[-1, 0]",2,199
22,2,"[-1, 0]",2,220
22,2,"[1, 0]",2,218
22,2,"[-1, 0]",2,279
18,2,"[-1, 0]",2,215
18,2,"[1, 0]",2,14
14,2,"[-1, 0]",2,111
14,2,"[1, 0]",2,10
10,2,"[1, 0]",2,86
22,2,"[1, 0]",2,137
10,2,"[-1, 0]",2,88
18,2,"[-1, 0]",2,195
6,2,"[1, 0]",2,202
14,2,"[1, 0]",2,29
14,2,"[-1, 0]",2,231
6,2,"[1, 0]",2,241
6,2,"[1, 0]",2,181
18,2,"[1, 0]",2,154
6,2,"[-1, 0]",2,123
6,2,"[-1, 0]",2,184
6,2,"[-1, 0]",2,84
10,2,"[-1, 0]",2,268
10,2,"[1, 0]",2,125
22,2,"[1, 0]",2,257
22,2,"[-1, 0]",2,160
18,2,"[-1, 0]",2,275
18,2,"[1, 0]",2,193
14,2,"[-1, 0]",2,11
6,2,"[1, 0]",2,21
22,2,"[1, 0]",2,258
14,2,"[1, 0]",2,90
10,2,"[1, 0]",2,85
22,2,"[1, 0]",2,78
18,2,"[-1, 0]",2,256
10,2,"[1, 0]",2,105
14,2,"[-1, 0]",2,71
6,2,"[1, 0]",2,142
14,2,"[1, 0]",2,9
18,2,"[1, 0]",2,33
14,2,"[1, 0]",2,249
18,2,"[1, 0]",2,274
6,2,"[1, 0]",2,122
22,2,"[1, 0]",2,17
10,2,"[-1, 0]",2,128
10,2,"[-1, 0]",2,148
10,2,"[-1, 0]",2,188
18,2,"[1, 0]",2,153
14,2,"[1, 0]",2,170
18,2,"[1, 0]",2,234
22,2,"[-1, 0]",2,80
6,2,"[-1, 0]",2,43
22,2,"[-1, 0]",2,60
10,2,"[-1, 0]",2,27
18,2,"[-1, 0]",2,95
18,2,"[1, 0]",2,174
18,2,"[-1, 0]",2,96
10,2,"[-1, 0]",2,147
18,2,"[1, 0]",2,114
22,2,"[-1, 0]",2,179
18,2,"[1, 0]",2,194
10,2,"[1, 0]",2,25
6,2,"[-1, 0]",2,163
14,2,"[-1, 0]",2,151
18,2,"[1, 0]",2,213
10,2,"[1, 0]",2,46
14,2,"[-1, 0]",2,51
6,2,"[1, 0]",2,22
14,2,"[1, 0]",2,130
14,2,"[1, 0]",2,269
10,2,"[1, 0]",2,206
22,2,"[1, 0]",2,38
10,2,"[1, 0]",2,245
6,2,"[-1, 0]",2,263
18,2,"[1, 0]",2,254
10,2,"[1, 0]",2,26
22,2,"[1, 0]",2,217
6,2,"[-1, 0]",2,64
22,2,"[-1, 0]",2,100
14,2,"[-1, 0]",2,271
6,2,"[-1, 0]",2,144
6,2,"[1, 0]",2,101
22,2,"[-1, 0]",2,139
18,2,"[-1, 0]",2,235
6,2,"[1, 0]",2,182
10,2,"[-1, 0]",2,7
6,2,"[1, 0]",2,262
14,2,"[1, 0]",2,49
6,2,"[1, 0]",2,161
6,2,"[-1, 0]",2,143
14,2,"[-1, 0]",2,171
22,2,"[1, 0]",2,198
6,2,"[-1, 0]",2,224
14,2,"[-1, 0]",2,92
6,2,"[1, 0]",2,82
6,2,"[-1, 0]",2,183
14,2,"[-1, 0]",2,232
6,2,"[1, 0]",2,1
18,2,"[1, 0]",2,54
22,2,"[-1, 0]",2,40
18,2,"[-1, 0]",2,176
6,2,"[-1, 0]",2,204
22,2,"[1, 0]",2,98
6,2,"[1, 0]",2,42
22,2,"[-1, 0]",2,119
10,2,"[1, 0]",2,266
14,2,"[-1, 0]",2,152
22,2,"[1, 0]",2,177
18,2,"[-1, 0]",2,15
18,2,"[1, 0]",2,214
22,2,"[1, 0]",2,118
10,2,"[-1, 0]",2,167
10,2,"[1, 0]",2,66
18,2,"[-1, 0]",2,276
14,2,"[1, 0]",2,50
14,2,"[1, 0]",2,110
10,2,"[-1, 0]",2,48
18,2,"[1, 0]",2,233
14,2,"[1, 0]",2,189
10,2,"[1, 0]",2,186
22,2,"[1, 0]",2,238
10,2,"[1, 0]",2,165
22,2,"[-1, 0]",2,159
10,2,"[-1, 0]",2,47
14,2,"[1, 0]",2,109
6,2,"[1, 0]",2,162
22,2,"[1, 0]",2,178
22,2,"[1, 0]",2,237
22,2,"[-1, 0]",2,19
10,2,"[-1, 0]",2,108
18,2,"[-1, 0]",2,36
14,2,"[1, 0]",2,229
22,2,"[1, 0]",2,138
10,2,"[-1, 0]",2,227
10,2,"[-1, 0]",2,127
18,2,"[-1, 0]",2,196
18,2,"[-1, 0]",2,16
14,2,"[-1, 0]",2,12
22,2,"[-1, 0]",2,79
14,2,"[1, 0]",2,209
22,2,"[1, 0]",2,158
10,2,"[1, 0]",2,185
14,2,"[-1, 0]",2,252
14,2,"[-1, 0]",2,212
14,2,"[1, 0]",2,89
10,2,"[-1, 0]",2,247
6,2,"[-1, 0]",2,203
22,2,"[-1, 0]",2,39
6,2,"[1, 0]",2,61
14,2,"[-1, 0]",2,191
10,2,"[1, 0]",2,126
22,2,"[-1, 0]",2,239
22,2,"[-1, 0]",2,59
18,2,"[-1, 0]",2,75
6,2,"[-1, 0]",2,83
14,2,"[-1, 0]",2,131
6,2,"[-1, 0]",2,124
22,2,"[-1, 0]",2,99
22,2,"[1, 0]",2,58
18,2,"[-1, 0]",2,116
18,2,"[1, 0]",2,273
18,2,"[-1, 0]",2,156
22,2,"[1, 0]",2,18
14,2,"[1, 0]",2,210
22,2,"[1, 0]",2,157
22,2,"[-1, 0]",2,280
6,2,"[-1, 0]",2,4
18,2,"[1, 0]",2,173
10,2,"[1, 0]",2,6
18,2,"[1, 0]",2,13
10,2,"[1, 0]",2,65
14,2,"[1, 0]",2,150
6,2,"[1, 0]",2,141
6,2,"[-1, 0]",2,44
6,2,"[-1, 0]",2,23
18,2,"[-1, 0]",2,175
10,2,"[1, 0]",2,226
18,2,"[1, 0]",2,34
22,2,"[1, 0]",2,57
14,2,"[1, 0]",2,250
6,2,"[1, 0]",2,62
6,2,"[1, 0]",2,102
10,2,"[1, 0]",2,106
10,2,"[-1, 0]",2,107
6,2,"[-1, 0]",2,223
22,2,"[-1, 0]",2,20
14,2,"[1, 0]",2,129
18,2,"[-1, 0]",2,55
18,2,"[1, 0]",2,133
18,2,"[1, 0]",2,134
6,2,"[1, 0]",2,201
22,2,"[-1, 0]",2,140
22,2,"[1, 0]",2,278
6,2,"[-1, 0]",2,164
18,2,"[1, 0]",2,253
14,2,"[1, 0]",2,230
14,2,"[1, 0]",2,270
14,2,"[1, 0]",2,169
6,2,"[1, 0]",2,121
10,2,"[1, 0]",2,145
18,2,"[-1, 0]",2,115
18,2,"[1, 0]",2,73
10,2,"[1, 0]",2,246
6,2,"[-1, 0]",2,104
22,2,"[1, 0]",2,117
6,2,"[1, 0]",2,41
6,2,"[1, 0]",2,81
10,2,"[-1, 0]",2,67
6,2,"[1, 0]",2,222
10,2,"[-1, 0]",2,187
10,2,"[-1, 0]",2,8
6,2,"[-1, 0]",2,244
18,2,"[-1, 0]",2,56
22,2,"[-1, 0]",2,200
18,2,"[-1, 0]",2,216
10,2,"[-1, 0]",2,28
10,2,"[-1, 0]",2,87
22,2,"[1, 0]",2,197
10,2,"[-1, 0]",2,68
22,2,"[1, 0]",2,97
18,2,"[-1, 0]",2,236
6,2,"[-1, 0]",2,24
22,2,"[-1, 0]",2,219
22,2,"[-1, 0]",2,180
14,2,"[1, 0]",2,70
14,2,"[-1, 0]",2,272
18,2,"[1, 0]",2,53
22,2,"[-1, 0]",2,260
14,2,"[-1, 0]",2,91
10,2,"[-1, 0]",2,248
6,2,"[1, 0]",2,261
22,2,"[-1, 0]",2,240
10,2,"[1, 0]",2,45
18,2,"[1, 0]",2,113
18,2,"[-1, 0]",2,35
6,2,"[-1, 0]",2,264
6,2,"[-1, 0]",2,103
10,2,"[-1, 0]",2,207
18,2,"[-1, 0]",2,136
10,2,"[-1, 0]",2,208
10,2,"[1, 0]",2,146
10,2,"[-1, 0]",2,168
10,2,"[1, 0]",2,205
22,2,"[-1, 0]",2,259
14,2,"[-1, 0]",2,172
14,2,"[-1, 0]",2,31
10,2,"[-1, 0]",2,267
18,2,"[1, 0]",2,94
18,2,"[-1, 0]",2,76
18,2,"[-1, 0]",2,135
22,2,"[-1, 0]",2,120
14,2,"[-1, 0]",2,211
22,2,"[1, 0]",2,37
10,2,"[-1, 0]",2,228
6,2,"[1, 0]",2,2
6,2,"[-1, 0]",2,3
14,2,"[-1, 0]",2,72
10,2,"[1, 0]",2,5
10,2,"[1, 0]",2,166
14,2,"[-1, 0]",2,251
18,2,"[1, 0]",2,93
14,2,"[1, 0]",2,30
14,2,"[-1, 0]",2,192
14,2,"[-1, 0]",2,32
22,2,"[1, 0]",2,77
6,2,"[1, 0]",2,242
10,2,"[1, 0]",2,265
10,2,"[1, 0]",2,225
6,2,"[-1, 0]",2,243
14,2,"[1, 0]",2,190
14,2,"[-1, 0]",2,132
18,2,"[-1, 0]",2,255
22,2,"[1, 0]",2,277
18,2,"[1, 0]",2,74
6,2,"[-1, 0]",2,63
14,2,"[1, 0]",2,69
14,2,"[-1, 0]",2,112
