cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
14,2,"[1, 0]",10,270
18,2,"[-1, 0]",2,195
18,2,"[1, 0]",10,94
22,2,"[-1, 0]",10,60
10,2,"[-1, 0]",2,227
22,2,"[1, 0]",2,277
14,2,"[1, 0]",10,210
14,2,"[-1, 0]",10,232
6,2,"[-1, 0]",2,203
6,2,"[-1, 0]",2,243
6,2,"[1, 0]",10,222
10,2,"[1, 0]",10,146
10,2,"[-1, 0]",10,88
18,2,"[1, 0]",2,253
18,2,"[-1, 0]",10,236
10,2,"[-1, 0]",2,247
10,2,"[-1, 0]",10,108
18,2,"[1, 0]",10,254
14,2,"[-1, 0]",10,52
14,2,"[1, 0]",10,130
10,2,"[-1, 0]",10,68
22,2,"[-1, 0]",2,59
22,2,"[-1, 0]",10,80
18,2,"[1, 0]",10,54
10,2,"[-1, 0]",2,187
18,2,"[1, 0]",10,134
18,2,"[-1, 0]",10,96
10,2,"[1, 0]",2,225
18,2,"[-1, 0]",2,175
14,2,"[1, 0]",10,230
22,2,"[-1, 0]",2,39
18,2,"[-1, 0]",2,215
18,2,"[1, 0]",10,274
14,2,"[-1, 0]",10,132
6,2,"[-1, 0]",2,23
10,2,"[1, 0]",10,46
22,2,"[-1, 0]",2,259
6,2,"[-1, 0]",10,244
10,2,"[-1, 0]",2,87
10,2,"[1, 0]",10,166
22,2,"[1, 0]",2,137
22,2,"[-1, 0]",2,119
18,2,"[-1, 0]",10,136
10,2,"[-1, 0]",10,228
6,2,"[-1, 0]",10,44
18,2,"[1, 0]",2,193
18,2,"[1, 0]",2,13
22,2,"[-1, 0]",10,200
14,2,"[1, 0]",2,49
18,2,"[-1, 0]",2,15
22,2,"[1, 0]",10,218
14,2,"[-1, 0]",2,231
10,2,"[1, 0]",2,105
18,2,"[1, 0]",10,194
10,2,"[1, 0]",10,86
6,2,"[1, 0]",2,261
14,2,"[1, 0]",10,250
22,2,"[-1, 0]",2,159
18,2,"[1, 0]",2,153
18,2,"[1, 0]",10,74
22,2,"[1, 0]",10,18
10,2,"[1, 0]",10,266
14,2,"[1, 0]",2,149
14,2,"[1, 0]",10,170
18,2,"[1, 0]",10,214
14,2,"[-1, 0]",10,152
18,2,"[1, 0]",2,93
14,2,"[-1, 0]",2,51
6,2,"[1, 0]",10,82
6,2,"[-1, 0]",2,163
14,2,"[-1, 0]",10,252
6,2,"[-1, 0]",2,143
6,2,"[1, 0]",10,242
14,2,"[1, 0]",2,69
18,2,"[1, 0]",2,53
22,2,"[1, 0]",2,97
6,2,"[1, 0]",2,41
22,2,"[-1, 0]",10,120
22,2,"[1, 0]",10,38
6,2,"[-1, 0]",10,124
10,2,"[-1, 0]",10,128
14,2,"[1, 0]",2,229
22,2,"[1, 0]",2,237
14,2,"[1, 0]",2,129
22,2,"[-1, 0]",2,179
10,2,"[1, 0]",10,106
18,2,"[-1, 0]",2,155
14,2,"[1, 0]",10,90
10,2,"[1, 0]",10,206
6,2,"[1, 0]",10,142
18,2,"[-1, 0]",2,35
18,2,"[-1, 0]",10,216
6,2,"[1, 0]",10,62
22,2,"[1, 0]",10,178
22,2,"[-1, 0]",2,199
10,2,"[1, 0]",2,5
14,2,"[1, 0]",10,110
10,2,"[-1, 0]",10,268
10,2,"[1, 0]",2,65
14,2,"[1, 0]",10,10
10,2,"[-1, 0]",10,48
22,2,"[-1, 0]",10,40
14,2,"[-1, 0]",2,251
18,2,"[-1, 0]",2,115
22,2,"[-1, 0]",10,160
10,2,"[-1, 0]",10,248
14,2,"[-1, 0]",2,171
6,2,"[1, 0]",10,42
14,2,"[-1, 0]",10,112
14,2,"[1, 0]",2,109
14,2,"[-1, 0]",10,192
14,2,"[-1, 0]",2,71
10,2,"[1, 0]",10,186
6,2,"[1, 0]",2,61
6,2,"[1, 0]",10,202
6,2,"[1, 0]",2,161
18,2,"[-1, 0]",10,36
10,2,"[1, 0]",2,45
14,2,"[-1, 0]",2,91
18,2,"[-1, 0]",2,55
10,2,"[-1, 0]",2,167
18,2,"[1, 0]",2,233
18,2,"[-1, 0]",10,76
10,2,"[-1, 0]",2,27
22,2,"[-1, 0]",10,140
14,2,"[1, 0]",10,150
14,2,"[1, 0]",10,50
6,2,"[-1, 0]",10,144
18,2,"[-1, 0]",10,16
22,2,"[1, 0]",2,57
6,2,"[1, 0]",10,102
22,2,"[-1, 0]",2,139
22,2,"[-1, 0]",2,19
18,2,"[-1, 0]",2,255
18,2,"[-1, 0]",2,95
14,2,"[1, 0]",10,70
10,2,"[1, 0]",10,226
18,2,"[1, 0]",10,174
22,2,"[-1, 0]",10,100
18,2,"[1, 0]",10,14
18,2,"[-1, 0]",10,256
18,2,"[1, 0]",2,73
14,2,"[-1, 0]",10,172
18,2,"[-1, 0]",10,276
6,2,"[-1, 0]",10,164
