cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
14,2,"[-1, 0]",2,31
10,2,"[1, 0]",10,86
14,2,"[-1, 0]",10,112
22,2,"[-1, 0]",10,280
10,2,"[1, 0]",10,266
6,2,"[-1, 0]",10,4
18,2,"[1, 0]",10,34
22,2,"[-1, 0]",10,80
22,2,"[1, 0]",10,178
18,2,"[1, 0]",2,73
18,2,"[-1, 0]",2,255
6,2,"[1, 0]",2,201
10,2,"[1, 0]",2,165
14,2,"[-1, 0]",2,231
6,2,"[1, 0]",2,121
10,2,"[1, 0]",2,25
10,2,"[-1, 0]",2,147
10,2,"[-1, 0]",10,128
22,2,"[-1, 0]",2,159
10,2,"[-1, 0]",10,148
14,2,"[-1, 0]",10,12
22,2,"[1, 0]",2,177
14,2,"[-1, 0]",2,11
10,2,"[1, 0]",10,186
18,2,"[-1, 0]",10,196
18,2,"[1, 0]",10,234
18,2,"[-1, 0]",2,215
18,2,"[1, 0]",2,253
18,2,"[-1, 0]",10,256
18,2,"[1, 0]",2,153
18,2,"[-1, 0]",2,75
22,2,"[-1, 0]",10,160
6,2,"[1, 0]",2,1
22,2,"[-1, 0]",10,260
6,2,"[-1, 0]",10,84
14,2,"[-1, 0]",2,211
14,2,"[1, 0]",2,49
14,2,"[-1, 0]",2,51
6,2,"[-1, 0]",10,64
18,2,"[-1, 0]",2,55
14,2,"[1, 0]",2,29
6,2,"[1, 0]",10,142
10,2,"[-1, 0]",2,247
10,2,"[-1, 0]",2,127
14,2,"[-1, 0]",10,192
14,2,"[-1, 0]",10,72
22,2,"[-1, 0]",10,60
14,2,"[1, 0]",10,250
14,2,"[-1, 0]",10,92
18,2,"[-1, 0]",10,36
14,2,"[1, 0]",2,109
6,2,"[-1, 0]",10,24
10,2,"[1, 0]",10,226
14,2,"[-1, 0]",10,52
14,2,"[-1, 0]",10,132
22,2,"[-1, 0]",2,19
18,2,"[1, 0]",10,14
18,2,"[-1, 0]",2,155
22,2,"[1, 0]",2,97
22,2,"[-1, 0]",2,279
22,2,"[1, 0]",2,257
10,2,"[-1, 0]",10,188
6,2,"[-1, 0]",10,244
10,2,"[-1, 0]",10,168
10,2,"[1, 0]",10,166
14,2,"[-1, 0]",10,32
22,2,"[-1, 0]",10,120
22,2,"[-1, 0]",2,199
10,2,"[1, 0]",2,85
10,2,"[-1, 0]",2,7
14,2,"[1, 0]",10,10
22,2,"[1, 0]",2,277
10,2,"[-1, 0]",2,167
10,2,"[-1, 0]",10,248
6,2,"[1, 0]",10,22
6,2,"[-1, 0]",2,163
22,2,"[-1, 0]",10,200
6,2,"[-1, 0]",10,264
22,2,"[1, 0]",10,158
10,2,"[1, 0]",10,106
6,2,"[1, 0]",10,122
18,2,"[1, 0]",10,134
10,2,"[-1, 0]",2,207
10,2,"[1, 0]",10,146
22,2,"[-1, 0]",2,59
18,2,"[1, 0]",10,174
22,2,"[1, 0]",2,197
6,2,"[1, 0]",10,102
22,2,"[-1, 0]",2,219
10,2,"[1, 0]",10,126
22,2,"[-1, 0]",10,40
14,2,"[1, 0]",2,269
18,2,"[-1, 0]",10,96
10,2,"[-1, 0]",10,88
18,2,"[1, 0]",10,154
6,2,"[-1, 0]",2,123
18,2,"[1, 0]",10,54
6,2,"[1, 0]",2,261
6,2,"[-1, 0]",10,204
18,2,"[-1, 0]",10,16
10,2,"[-1, 0]",2,227
22,2,"[-1, 0]",2,39
14,2,"[-1, 0]",10,232
22,2,"[1, 0]",2,117
22,2,"[1, 0]",10,278
10,2,"[1, 0]",2,145
14,2,"[1, 0]",2,69
18,2,"[1, 0]",2,273
18,2,"[-1, 0]",2,175
14,2,"[1, 0]",10,30
14,2,"[1, 0]",10,130
22,2,"[1, 0]",2,137
22,2,"[-1, 0]",2,99
14,2,"[1, 0]",10,50
10,2,"[-1, 0]",10,48
22,2,"[-1, 0]",2,79
18,2,"[-1, 0]",2,275
14,2,"[1, 0]",2,229
14,2,"[1, 0]",10,270
22,2,"[1, 0]",2,237
6,2,"[-1, 0]",2,223
14,2,"[-1, 0]",2,131
18,2,"[1, 0]",2,93
14,2,"[-1, 0]",10,172
14,2,"[1, 0]",10,70
10,2,"[-1, 0]",10,228
6,2,"[1, 0]",2,141
18,2,"[-1, 0]",10,176
22,2,"[1, 0]",10,258
18,2,"[-1, 0]",10,236
14,2,"[1, 0]",10,150
14,2,"[-1, 0]",2,191
6,2,"[-1, 0]",2,63
14,2,"[-1, 0]",2,71
10,2,"[-1, 0]",10,268
6,2,"[1, 0]",2,161
10,2,"[-1, 0]",2,67
18,2,"[1, 0]",10,254
6,2,"[-1, 0]",2,143
10,2,"[1, 0]",10,246
22,2,"[1, 0]",10,198
10,2,"[-1, 0]",2,27
6,2,"[1, 0]",2,81
18,2,"[1, 0]",2,113
22,2,"[1, 0]",10,38
18,2,"[1, 0]",2,133
18,2,"[-1, 0]",2,115
10,2,"[-1, 0]",2,267
18,2,"[1, 0]",10,214
10,2,"[-1, 0]",10,28
22,2,"[1, 0]",10,98
10,2,"[1, 0]",10,206
14,2,"[-1, 0]",10,212
6,2,"[1, 0]",2,101
6,2,"[-1, 0]",10,184
10,2,"[1, 0]",2,185
22,2,"[1, 0]",10,238
22,2,"[-1, 0]",2,179
6,2,"[-1, 0]",10,144
14,2,"[1, 0]",2,9
10,2,"[-1, 0]",2,187
18,2,"[1, 0]",10,274
18,2,"[-1, 0]",10,116
18,2,"[-1, 0]",2,135
6,2,"[1, 0]",10,182
6,2,"[-1, 0]",10,44
6,2,"[-1, 0]",10,164
18,2,"[-1, 0]",10,276
18,2,"[1, 0]",2,53
14,2,"[-1, 0]",2,271
10,2,"[-1, 0]",10,8
18,2,"[-1, 0]",2,95
10,2,"[-1, 0]",2,87
10,2,"[1, 0]",2,5
22,2,"[1, 0]",2,157
6,2,"[1, 0]",10,62
6,2,"[1, 0]",10,2
6,2,"[1, 0]",2,21
10,2,"[1, 0]",2,125
6,2,"[1, 0]",10,162
22,2,"[1, 0]",2,217
10,2,"[1, 0]",10,6
18,2,"[1, 0]",2,233
18,2,"[-1, 0]",10,136
10,2,"[-1, 0]",10,208
10,2,"[1, 0]",2,105
14,2,"[1, 0]",2,149
6,2,"[-1, 0]",10,104
22,2,"[-1, 0]",10,20
6,2,"[1, 0]",2,41
18,2,"[1, 0]",10,194
14,2,"[-1, 0]",2,251
6,2,"[-1, 0]",2,263
18,2,"[1, 0]",2,193
18,2,"[1, 0]",2,33
10,2,"[1, 0]",2,225
18,2,"[1, 0]",2,13
14,2,"[1, 0]",10,110
22,2,"[-1, 0]",10,100
6,2,"[1, 0]",10,42
22,2,"[-1, 0]",10,180
10,2,"[1, 0]",10,66
18,2,"[1, 0]",2,173
14,2,"[-1, 0]",2,171
18,2,"[-1, 0]",10,156
14,2,"[1, 0]",2,209
6,2,"[-1, 0]",2,23
6,2,"[-1, 0]",2,183
6,2,"[-1, 0]",10,224
6,2,"[1, 0]",10,202
22,2,"[1, 0]",2,37
10,2,"[1, 0]",10,26
22,2,"[1, 0]",2,17
14,2,"[1, 0]",2,129
18,2,"[-1, 0]",10,56
22,2,"[-1, 0]",2,239
22,2,"[1, 0]",10,78
22,2,"[-1, 0]",2,139
10,2,"[-1, 0]",10,108
14,2,"[1, 0]",10,230
10,2,"[1, 0]",2,245
6,2,"[-1, 0]",10,124
6,2,"[1, 0]",2,241
22,2,"[1, 0]",10,118
14,2,"[-1, 0]",2,111
14,2,"[1, 0]",2,249
22,2,"[-1, 0]",10,240
6,2,"[-1, 0]",2,203
14,2,"[1, 0]",10,190
22,2,"[-1, 0]",10,140
6,2,"[1, 0]",2,181
14,2,"[1, 0]",10,170
6,2,"[1, 0]",2,61
14,2,"[1, 0]",2,189
22,2,"[1, 0]",10,18
22,2,"[-1, 0]",2,259
22,2,"[1, 0]",10,58
10,2,"[1, 0]",2,45
18,2,"[-1, 0]",10,216
6,2,"[-1, 0]",2,103
18,2,"[-1, 0]",10,76
18,2,"[1, 0]",10,114
6,2,"[-1, 0]",2,243
14,2,"[-1, 0]",10,152
14,2,"[-1, 0]",10,252
18,2,"[-1, 0]",2,35
6,2,"[-1, 0]",2,83
14,2,"[-1, 0]",2,91
6,2,"[1, 0]",10,242
10,2,"[-1, 0]",2,107
22,2,"[1, 0]",10,218
6,2,"[1, 0]",2,221
14,2,"[-1, 0]",10,272
22,2,"[1, 0]",2,77
22,2,"[1, 0]",10,138
6,2,"[-1, 0]",2,3
22,2,"[-1, 0]",10,220
14,2,"[1, 0]",2,89
10,2,"[1, 0]",2,265
18,2,"[1, 0]",2,213
18,2,"[1, 0]",10,74
14,2,"[1, 0]",10,90
22,2,"[-1, 0]",2,119
18,2,"[1, 0]",10,94
18,2,"[-1, 0]",2,15
6,2,"[1, 0]",10,262
6,2,"[1, 0]",10,222
10,2,"[1, 0]",2,65
18,2,"[-1, 0]",2,235
10,2,"[-1, 0]",10,68
6,2,"[1, 0]",10,82
14,2,"[1, 0]",2,169
22,2,"[1, 0]",2,57
14,2,"[1, 0]",10,210
10,2,"[1, 0]",2,205
18,2,"[-1, 0]",2,195
6,2,"[-1, 0]",2,43
10,2,"[1, 0]",10,46
14,2,"[-1, 0]",2,151
