trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
273,"[-1, 0]",14,2,10
18,"[1, 0]",14,2,2.5
221,"[-1, 0]",6,2,10
194,"[-1, 0]",18,2,2.5
55,"[1, 0]",22,2,2.5
139,"[1, 0]",18,2,10
107,"[1, 0]",10,2,10
178,"[-1, 0]",14,2,2.5
126,"[1, 0]",6,2,10
141,"[-1, 0]",6,2,2.5
93,"[1, 0]",14,2,10
192,"[-1, 0]",10,2,2.5
19,"[1, 0]",18,2,2.5
213,"[-1, 0]",14,2,10
202,"[-1, 0]",10,2,2.5
155,"[-1, 0]",22,2,2.5
42,"[1, 0]",10,2,2.5
35,"[1, 0]",22,2,2.5
20,"[1, 0]",22,2,2.5
73,"[1, 0]",14,2,10
26,"[1, 0]",6,2,2.5
133,"[1, 0]",14,2,10
279,"[-1, 0]",18,2,10
137,"[1, 0]",10,2,10
265,"[-1, 0]",22,2,10
1,"[1, 0]",6,2,2.5
123,"[1, 0]",14,2,10
203,"[-1, 0]",14,2,2.5
3,"[1, 0]",14,2,2.5
186,"[-1, 0]",6,2,2.5
17,"[1, 0]",10,2,2.5
54,"[1, 0]",18,2,2.5
90,"[1, 0]",22,2,10
68,"[1, 0]",14,2,2.5
215,"[-1, 0]",22,2,10
280,"[-1, 0]",22,2,10
154,"[-1, 0]",18,2,2.5
234,"[-1, 0]",18,2,10
9,"[1, 0]",18,2,2.5
187,"[-1, 0]",10,2,2.5
121,"[1, 0]",6,2,10
268,"[-1, 0]",14,2,10
195,"[-1, 0]",22,2,2.5
223,"[-1, 0]",14,2,10
96,"[1, 0]",6,2,10
216,"[-1, 0]",6,2,10
15,"[1, 0]",22,2,2.5
214,"[-1, 0]",18,2,10
98,"[1, 0]",14,2,10
21,"[1, 0]",6,2,2.5
249,"[-1, 0]",18,2,10
262,"[-1, 0]",10,2,10
277,"[-1, 0]",10,2,10
82,"[1, 0]",10,2,10
183,"[-1, 0]",14,2,2.5
158,"[-1, 0]",14,2,2.5
176,"[-1, 0]",6,2,2.5
62,"[1, 0]",10,2,2.5
124,"[1, 0]",18,2,10
185,"[-1, 0]",22,2,2.5
101,"[1, 0]",6,2,10
109,"[1, 0]",18,2,10
182,"[-1, 0]",10,2,2.5
147,"[-1, 0]",10,2,2.5
113,"[1, 0]",14,2,10
177,"[-1, 0]",10,2,2.5
161,"[-1, 0]",6,2,2.5
175,"[-1, 0]",22,2,2.5
120,"[1, 0]",22,2,10
40,"[1, 0]",22,2,2.5
102,"[1, 0]",10,2,10
200,"[-1, 0]",22,2,2.5
169,"[-1, 0]",18,2,2.5
204,"[-1, 0]",18,2,2.5
45,"[1, 0]",22,2,2.5
64,"[1, 0]",18,2,2.5
122,"[1, 0]",10,2,10
232,"[-1, 0]",10,2,10
27,"[1, 0]",10,2,2.5
163,"[-1, 0]",14,2,2.5
36,"[1, 0]",6,2,2.5
129,"[1, 0]",18,2,10
197,"[-1, 0]",10,2,2.5
29,"[1, 0]",18,2,2.5
48,"[1, 0]",14,2,2.5
188,"[-1, 0]",14,2,2.5
168,"[-1, 0]",14,2,2.5
63,"[1, 0]",14,2,2.5
14,"[1, 0]",18,2,2.5
157,"[-1, 0]",10,2,2.5
144,"[-1, 0]",18,2,2.5
193,"[-1, 0]",14,2,2.5
269,"[-1, 0]",18,2,10
131,"[1, 0]",6,2,10
4,"[1, 0]",18,2,2.5
140,"[1, 0]",22,2,10
152,"[-1, 0]",10,2,2.5
201,"[-1, 0]",6,2,2.5
191,"[-1, 0]",6,2,2.5
150,"[-1, 0]",22,2,2.5
99,"[1, 0]",18,2,10
94,"[1, 0]",18,2,10
247,"[-1, 0]",10,2,10
81,"[1, 0]",6,2,10
100,"[1, 0]",22,2,10
97,"[1, 0]",10,2,10
105,"[1, 0]",22,2,10
198,"[-1, 0]",14,2,2.5
149,"[-1, 0]",18,2,2.5
196,"[-1, 0]",6,2,2.5
103,"[1, 0]",14,2,10
210,"[-1, 0]",22,2,2.5
184,"[-1, 0]",18,2,2.5
253,"[-1, 0]",14,2,10
148,"[-1, 0]",14,2,2.5
88,"[1, 0]",14,2,10
135,"[1, 0]",22,2,10
179,"[-1, 0]",18,2,2.5
34,"[1, 0]",18,2,2.5
33,"[1, 0]",14,2,2.5
217,"[-1, 0]",10,2,10
160,"[-1, 0]",22,2,2.5
69,"[1, 0]",18,2,2.5
143,"[-1, 0]",14,2,2.5
237,"[-1, 0]",10,2,10
227,"[-1, 0]",10,2,10
116,"[1, 0]",6,2,10
80,"[1, 0]",22,2,10
271,"[-1, 0]",6,2,10
233,"[-1, 0]",14,2,10
38,"[1, 0]",14,2,2.5
8,"[1, 0]",14,2,2.5
5,"[1, 0]",22,2,2.5
274,"[-1, 0]",18,2,10
190,"[-1, 0]",22,2,2.5
164,"[-1, 0]",18,2,2.5
75,"[1, 0]",22,2,10
244,"[-1, 0]",18,2,10
153,"[-1, 0]",14,2,2.5
71,"[1, 0]",6,2,10
11,"[1, 0]",6,2,2.5
260,"[-1, 0]",22,2,10
251,"[-1, 0]",6,2,10
130,"[1, 0]",22,2,10
275,"[-1, 0]",22,2,10
231,"[-1, 0]",6,2,10
254,"[-1, 0]",18,2,10
189,"[-1, 0]",18,2,2.5
84,"[1, 0]",18,2,10
278,"[-1, 0]",14,2,10
128,"[1, 0]",14,2,10
66,"[1, 0]",6,2,2.5
108,"[1, 0]",14,2,10
241,"[-1, 0]",6,2,10
206,"[-1, 0]",6,2,2.5
86,"[1, 0]",6,2,10
156,"[-1, 0]",6,2,2.5
87,"[1, 0]",10,2,10
138,"[1, 0]",14,2,10
226,"[-1, 0]",6,2,10
243,"[-1, 0]",14,2,10
50,"[1, 0]",22,2,2.5
