trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
112,"[1, 0]",10,2,10
158,"[-1, 0]",14,2,2.5
87,"[1, 0]",10,2,10
272,"[-1, 0]",10,2,10
97,"[1, 0]",10,2,10
110,"[1, 0]",22,2,10
187,"[-1, 0]",10,2,2.5
197,"[-1, 0]",10,2,2.5
232,"[-1, 0]",10,2,10
22,"[1, 0]",10,2,2.5
238,"[-1, 0]",14,2,10
132,"[1, 0]",10,2,10
1,"[1, 0]",6,2,2.5
280,"[-1, 0]",22,2,10
35,"[1, 0]",22,2,2.5
131,"[1, 0]",6,2,10
52,"[1, 0]",10,2,2.5
63,"[1, 0]",14,2,2.5
103,"[1, 0]",14,2,10
178,"[-1, 0]",14,2,2.5
164,"[-1, 0]",18,2,2.5
267,"[-1, 0]",10,2,10
137,"[1, 0]",10,2,10
139,"[1, 0]",18,2,10
258,"[-1, 0]",14,2,10
253,"[-1, 0]",14,2,10
207,"[-1, 0]",10,2,2.5
105,"[1, 0]",22,2,10
49,"[1, 0]",18,2,2.5
81,"[1, 0]",6,2,10
233,"[-1, 0]",14,2,10
30,"[1, 0]",22,2,2.5
122,"[1, 0]",10,2,10
83,"[1, 0]",14,2,10
263,"[-1, 0]",14,2,10
73,"[1, 0]",14,2,10
213,"[-1, 0]",14,2,10
198,"[-1, 0]",14,2,2.5
10,"[1, 0]",22,2,2.5
248,"[-1, 0]",14,2,10
14,"[1, 0]",18,2,2.5
24,"[1, 0]",18,2,2.5
231,"[-1, 0]",6,2,10
64,"[1, 0]",18,2,2.5
165,"[-1, 0]",22,2,2.5
94,"[1, 0]",18,2,10
70,"[1, 0]",22,2,2.5
95,"[1, 0]",22,2,10
215,"[-1, 0]",22,2,10
264,"[-1, 0]",18,2,10
99,"[1, 0]",18,2,10
162,"[-1, 0]",10,2,2.5
249,"[-1, 0]",18,2,10
74,"[1, 0]",18,2,10
75,"[1, 0]",22,2,10
91,"[1, 0]",6,2,10
77,"[1, 0]",10,2,10
29,"[1, 0]",18,2,2.5
85,"[1, 0]",22,2,10
224,"[-1, 0]",18,2,10
242,"[-1, 0]",10,2,10
221,"[-1, 0]",6,2,10
126,"[1, 0]",6,2,10
179,"[-1, 0]",18,2,2.5
235,"[-1, 0]",22,2,10
54,"[1, 0]",18,2,2.5
2,"[1, 0]",10,2,2.5
