cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
10,2,"[1, 0]",2.5,17
6,2,"[-1, 0]",10,231
10,2,"[1, 0]",10,107
14,2,"[-1, 0]",2.5,208
14,2,"[1, 0]",10,118
6,2,"[1, 0]",2.5,21
22,2,"[1, 0]",10,135
10,2,"[-1, 0]",10,222
18,2,"[-1, 0]",2.5,164
6,2,"[-1, 0]",2.5,201
6,2,"[-1, 0]",10,251
6,2,"[1, 0]",2.5,46
18,2,"[-1, 0]",2.5,174
18,2,"[1, 0]",2.5,34
10,2,"[-1, 0]",10,262
18,2,"[-1, 0]",10,249
14,2,"[-1, 0]",10,273
22,2,"[1, 0]",2.5,30
6,2,"[-1, 0]",10,216
6,2,"[-1, 0]",10,241
22,2,"[-1, 0]",10,275
18,2,"[-1, 0]",10,244
18,2,"[1, 0]",10,129
18,2,"[-1, 0]",10,264
6,2,"[-1, 0]",2.5,196
10,2,"[-1, 0]",10,277
18,2,"[1, 0]",2.5,69
22,2,"[-1, 0]",10,240
14,2,"[-1, 0]",10,213
6,2,"[1, 0]",10,86
14,2,"[1, 0]",10,108
10,2,"[-1, 0]",10,272
18,2,"[1, 0]",2.5,24
10,2,"[1, 0]",2.5,27
10,2,"[-1, 0]",10,217
22,2,"[1, 0]",2.5,25
22,2,"[-1, 0]",10,225
6,2,"[1, 0]",2.5,56
10,2,"[-1, 0]",2.5,192
6,2,"[-1, 0]",2.5,186
14,2,"[1, 0]",2.5,8
6,2,"[-1, 0]",2.5,146
10,2,"[-1, 0]",10,247
6,2,"[-1, 0]",10,226
14,2,"[1, 0]",2.5,68
10,2,"[1, 0]",2.5,67
6,2,"[1, 0]",2.5,6
14,2,"[-1, 0]",10,253
6,2,"[1, 0]",10,91
14,2,"[1, 0]",2.5,18
18,2,"[-1, 0]",2.5,184
18,2,"[1, 0]",10,79
22,2,"[1, 0]",2.5,35
18,2,"[-1, 0]",2.5,194
6,2,"[1, 0]",10,96
6,2,"[1, 0]",2.5,41
14,2,"[-1, 0]",2.5,178
6,2,"[-1, 0]",2.5,141
10,2,"[1, 0]",10,82
18,2,"[1, 0]",2.5,54
