cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
7,2,"[-1, 0]",10.0,226
19,2,"[1, 0]",10.0,109
11,2,"[-1, 0]",3.0,187
19,2,"[-1, 0]",3.0,199
19,2,"[1, 0]",3.0,14
7,2,"[1, 0]",3.0,61
19,2,"[-1, 0]",10.0,264
15,2,"[-1, 0]",3.0,208
19,2,"[-1, 0]",3.0,159
7,2,"[1, 0]",10.0,71
23,2,"[1, 0]",3.0,60
19,2,"[-1, 0]",10.0,249
23,2,"[1, 0]",10.0,80
23,2,"[1, 0]",10.0,125
11,2,"[1, 0]",10.0,82
15,2,"[-1, 0]",3.0,168
7,2,"[1, 0]",3.0,1
7,2,"[1, 0]",3.0,11
11,2,"[-1, 0]",3.0,147
11,2,"[1, 0]",10.0,137
15,2,"[1, 0]",3.0,13
7,2,"[1, 0]",3.0,56
19,2,"[-1, 0]",3.0,154
19,2,"[-1, 0]",10.0,274
23,2,"[-1, 0]",3.0,150
19,2,"[1, 0]",3.0,44
15,2,"[-1, 0]",3.0,153
7,2,"[-1, 0]",3.0,201
19,2,"[1, 0]",3.0,9
11,2,"[1, 0]",10.0,107
19,2,"[-1, 0]",3.0,169
23,2,"[1, 0]",3.0,45
7,2,"[1, 0]",3.0,41
23,2,"[1, 0]",3.0,30
23,2,"[1, 0]",10.0,120
11,2,"[-1, 0]",3.0,182
11,2,"[1, 0]",10.0,87
7,2,"[-1, 0]",3.0,156
7,2,"[1, 0]",10.0,106
23,2,"[-1, 0]",10.0,270
7,2,"[-1, 0]",3.0,146
19,2,"[1, 0]",3.0,59
23,2,"[-1, 0]",10.0,230
15,2,"[-1, 0]",3.0,173
23,2,"[-1, 0]",10.0,220
7,2,"[-1, 0]",3.0,171
11,2,"[-1, 0]",10.0,277
23,2,"[1, 0]",10.0,85
19,2,"[-1, 0]",3.0,209
7,2,"[-1, 0]",10.0,241
7,2,"[-1, 0]",3.0,196
19,2,"[1, 0]",10.0,134
19,2,"[-1, 0]",3.0,149
15,2,"[1, 0]",10.0,113
7,2,"[-1, 0]",3.0,206
7,2,"[-1, 0]",10.0,236
19,2,"[1, 0]",10.0,114
19,2,"[-1, 0]",10.0,214
19,2,"[-1, 0]",10.0,279
19,2,"[-1, 0]",10.0,229
19,2,"[-1, 0]",10.0,259
15,2,"[-1, 0]",10.0,218
11,2,"[1, 0]",3.0,7
7,2,"[-1, 0]",10.0,211
19,2,"[-1, 0]",10.0,239
7,2,"[-1, 0]",10.0,261
19,2,"[1, 0]",10.0,79
7,2,"[1, 0]",10.0,96
23,2,"[-1, 0]",10.0,280
11,2,"[-1, 0]",3.0,157
7,2,"[1, 0]",3.0,36
23,2,"[1, 0]",10.0,135
15,2,"[-1, 0]",3.0,178
7,2,"[1, 0]",10.0,121
15,2,"[-1, 0]",3.0,188
11,2,"[-1, 0]",3.0,197
19,2,"[-1, 0]",10.0,244
7,2,"[1, 0]",3.0,26
23,2,"[-1, 0]",10.0,225
15,2,"[1, 0]",10.0,108
7,2,"[-1, 0]",10.0,256
23,2,"[-1, 0]",10.0,265
15,2,"[1, 0]",3.0,53
19,2,"[1, 0]",10.0,129
15,2,"[1, 0]",3.0,63
11,2,"[-1, 0]",3.0,192
11,2,"[1, 0]",3.0,32
19,2,"[-1, 0]",3.0,179
11,2,"[1, 0]",3.0,67
11,2,"[-1, 0]",10.0,267
7,2,"[-1, 0]",10.0,266
19,2,"[1, 0]",3.0,19
19,2,"[1, 0]",3.0,69
23,2,"[-1, 0]",10.0,215
19,2,"[1, 0]",3.0,54
11,2,"[-1, 0]",3.0,162
19,2,"[1, 0]",10.0,99
11,2,"[1, 0]",3.0,52
23,2,"[1, 0]",3.0,35
23,2,"[-1, 0]",10.0,255
23,2,"[1, 0]",10.0,100
11,2,"[-1, 0]",10.0,272
15,2,"[1, 0]",10.0,123
23,2,"[-1, 0]",3.0,200
11,2,"[-1, 0]",3.0,172
15,2,"[-1, 0]",10.0,258
11,2,"[-1, 0]",3.0,152
15,2,"[1, 0]",3.0,43
11,2,"[1, 0]",3.0,47
19,2,"[-1, 0]",10.0,254
11,2,"[1, 0]",10.0,127
7,2,"[-1, 0]",10.0,246
23,2,"[-1, 0]",3.0,155
15,2,"[-1, 0]",10.0,213
11,2,"[-1, 0]",10.0,257
7,2,"[-1, 0]",10.0,251
7,2,"[1, 0]",10.0,126
7,2,"[1, 0]",10.0,86
7,2,"[-1, 0]",10.0,276
7,2,"[1, 0]",3.0,21
19,2,"[1, 0]",10.0,89
15,2,"[-1, 0]",10.0,263
11,2,"[-1, 0]",10.0,217
15,2,"[1, 0]",10.0,93
19,2,"[1, 0]",3.0,39
23,2,"[-1, 0]",3.0,175
11,2,"[1, 0]",3.0,17
11,2,"[1, 0]",10.0,72
11,2,"[1, 0]",10.0,97
11,2,"[-1, 0]",3.0,142
19,2,"[-1, 0]",3.0,194
7,2,"[1, 0]",10.0,116
7,2,"[1, 0]",3.0,31
