cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
22,2,"[-1, 0]",10.0,245
22,2,"[1, 0]",10.0,135
22,2,"[1, 0]",10.0,85
6,2,"[1, 0]",3.0,36
10,2,"[-1, 0]",10.0,277
18,2,"[-1, 0]",10.0,279
6,2,"[1, 0]",3.0,1
14,2,"[1, 0]",10.0,88
10,2,"[1, 0]",10.0,122
22,2,"[1, 0]",3.0,5
6,2,"[-1, 0]",3.0,151
14,2,"[-1, 0]",10.0,233
6,2,"[-1, 0]",3.0,186
18,2,"[-1, 0]",10.0,249
10,2,"[-1, 0]",10.0,237
18,2,"[1, 0]",3.0,4
22,2,"[1, 0]",10.0,100
10,2,"[1, 0]",10.0,107
14,2,"[-1, 0]",10.0,223
10,2,"[-1, 0]",3.0,152
22,2,"[-1, 0]",10.0,250
18,2,"[1, 0]",10.0,79
14,2,"[1, 0]",3.0,13
18,2,"[-1, 0]",3.0,149
14,2,"[-1, 0]",10.0,213
22,2,"[1, 0]",3.0,65
14,2,"[-1, 0]",3.0,178
14,2,"[1, 0]",10.0,83
18,2,"[1, 0]",3.0,19
22,2,"[-1, 0]",3.0,185
14,2,"[1, 0]",3.0,18
10,2,"[-1, 0]",10.0,257
22,2,"[1, 0]",3.0,60
22,2,"[-1, 0]",10.0,260
22,2,"[-1, 0]",10.0,280
14,2,"[1, 0]",3.0,33
18,2,"[-1, 0]",10.0,259
10,2,"[-1, 0]",3.0,202
18,2,"[-1, 0]",10.0,219
18,2,"[-1, 0]",10.0,264
10,2,"[-1, 0]",3.0,177
22,2,"[-1, 0]",10.0,255
14,2,"[1, 0]",10.0,128
18,2,"[-1, 0]",3.0,184
6,2,"[-1, 0]",3.0,191
10,2,"[-1, 0]",3.0,197
18,2,"[-1, 0]",10.0,239
6,2,"[-1, 0]",10.0,241
22,2,"[1, 0]",10.0,130
18,2,"[-1, 0]",3.0,179
22,2,"[-1, 0]",10.0,230
14,2,"[1, 0]",10.0,133
18,2,"[-1, 0]",10.0,254
14,2,"[-1, 0]",10.0,228
18,2,"[1, 0]",3.0,29
18,2,"[-1, 0]",10.0,229
14,2,"[-1, 0]",3.0,143
14,2,"[1, 0]",10.0,98
22,2,"[1, 0]",10.0,125
10,2,"[-1, 0]",3.0,142
10,2,"[-1, 0]",10.0,227
22,2,"[-1, 0]",3.0,205
10,2,"[1, 0]",3.0,22
22,2,"[1, 0]",10.0,115
6,2,"[-1, 0]",10.0,236
10,2,"[1, 0]",3.0,17
10,2,"[1, 0]",3.0,27
22,2,"[1, 0]",3.0,50
14,2,"[1, 0]",10.0,118
6,2,"[1, 0]",10.0,116
14,2,"[1, 0]",10.0,123
14,2,"[-1, 0]",3.0,163
14,2,"[1, 0]",3.0,23
22,2,"[-1, 0]",10.0,270
10,2,"[1, 0]",10.0,102
18,2,"[-1, 0]",3.0,154
18,2,"[-1, 0]",3.0,174
10,2,"[1, 0]",3.0,12
10,2,"[1, 0]",3.0,37
18,2,"[1, 0]",10.0,119
22,2,"[-1, 0]",3.0,150
14,2,"[-1, 0]",3.0,208
14,2,"[-1, 0]",10.0,248
10,2,"[1, 0]",10.0,117
22,2,"[-1, 0]",3.0,145
14,2,"[-1, 0]",3.0,203
14,2,"[-1, 0]",3.0,188
14,2,"[-1, 0]",3.0,168
14,2,"[-1, 0]",10.0,238
10,2,"[-1, 0]",10.0,252
6,2,"[1, 0]",10.0,86
10,2,"[1, 0]",10.0,92
18,2,"[1, 0]",10.0,84
18,2,"[-1, 0]",3.0,144
6,2,"[-1, 0]",3.0,156
18,2,"[1, 0]",10.0,74
14,2,"[1, 0]",3.0,48
18,2,"[1, 0]",3.0,39
22,2,"[-1, 0]",3.0,210
18,2,"[1, 0]",3.0,49
6,2,"[1, 0]",3.0,66
6,2,"[-1, 0]",3.0,181
14,2,"[1, 0]",10.0,73
6,2,"[1, 0]",10.0,121
10,2,"[1, 0]",10.0,82
14,2,"[-1, 0]",3.0,193
18,2,"[1, 0]",10.0,99
22,2,"[-1, 0]",10.0,215
10,2,"[1, 0]",10.0,77
10,2,"[1, 0]",3.0,32
14,2,"[1, 0]",3.0,68
10,2,"[-1, 0]",10.0,272
18,2,"[1, 0]",3.0,64
6,2,"[-1, 0]",3.0,206
22,2,"[-1, 0]",3.0,175
18,2,"[-1, 0]",10.0,244
6,2,"[-1, 0]",10.0,256
6,2,"[-1, 0]",3.0,161
14,2,"[1, 0]",3.0,8
6,2,"[-1, 0]",10.0,266
6,2,"[-1, 0]",3.0,166
6,2,"[1, 0]",3.0,16
6,2,"[-1, 0]",10.0,276
10,2,"[-1, 0]",10.0,247
10,2,"[1, 0]",3.0,7
14,2,"[1, 0]",10.0,78
22,2,"[1, 0]",3.0,35
18,2,"[1, 0]",10.0,89
6,2,"[1, 0]",10.0,96
14,2,"[1, 0]",3.0,28
18,2,"[1, 0]",10.0,114
22,2,"[1, 0]",10.0,75
6,2,"[-1, 0]",10.0,251
22,2,"[1, 0]",10.0,80
10,2,"[1, 0]",3.0,62
10,2,"[1, 0]",3.0,52
10,2,"[1, 0]",3.0,42
14,2,"[-1, 0]",10.0,263
10,2,"[-1, 0]",10.0,262
6,2,"[1, 0]",10.0,81
22,2,"[-1, 0]",10.0,225
10,2,"[-1, 0]",3.0,172
14,2,"[1, 0]",10.0,93
10,2,"[1, 0]",3.0,2
6,2,"[1, 0]",10.0,106
22,2,"[1, 0]",3.0,20
22,2,"[1, 0]",3.0,45
6,2,"[1, 0]",3.0,21
18,2,"[1, 0]",3.0,59
6,2,"[-1, 0]",3.0,171
6,2,"[1, 0]",10.0,101
6,2,"[-1, 0]",10.0,216
22,2,"[-1, 0]",3.0,155
10,2,"[1, 0]",10.0,112
18,2,"[-1, 0]",3.0,199
22,2,"[1, 0]",10.0,95
6,2,"[1, 0]",3.0,11
22,2,"[1, 0]",3.0,15
18,2,"[-1, 0]",10.0,274
18,2,"[1, 0]",3.0,24
18,2,"[-1, 0]",3.0,189
22,2,"[-1, 0]",3.0,180
22,2,"[-1, 0]",3.0,160
10,2,"[1, 0]",10.0,97
10,2,"[-1, 0]",10.0,267
18,2,"[1, 0]",10.0,94
10,2,"[1, 0]",10.0,72
22,2,"[-1, 0]",3.0,190
10,2,"[1, 0]",10.0,132
14,2,"[-1, 0]",10.0,273
14,2,"[-1, 0]",10.0,278
18,2,"[1, 0]",3.0,69
10,2,"[-1, 0]",10.0,242
14,2,"[1, 0]",3.0,58
14,2,"[1, 0]",10.0,138
18,2,"[1, 0]",10.0,104
10,2,"[1, 0]",10.0,87
22,2,"[-1, 0]",3.0,170
14,2,"[-1, 0]",3.0,158
6,2,"[1, 0]",10.0,136
10,2,"[1, 0]",3.0,67
18,2,"[1, 0]",3.0,54
22,2,"[-1, 0]",10.0,240
6,2,"[-1, 0]",3.0,196
14,2,"[-1, 0]",3.0,173
6,2,"[1, 0]",3.0,26
10,2,"[-1, 0]",10.0,212
22,2,"[1, 0]",3.0,55
18,2,"[-1, 0]",10.0,269
14,2,"[-1, 0]",3.0,153
18,2,"[1, 0]",10.0,139
14,2,"[-1, 0]",10.0,258
10,2,"[-1, 0]",10.0,217
6,2,"[-1, 0]",10.0,246
6,2,"[-1, 0]",3.0,146
22,2,"[-1, 0]",3.0,195
22,2,"[1, 0]",10.0,110
14,2,"[1, 0]",3.0,43
6,2,"[1, 0]",3.0,6
10,2,"[-1, 0]",3.0,167
10,2,"[1, 0]",10.0,137
14,2,"[-1, 0]",10.0,253
18,2,"[1, 0]",10.0,124
22,2,"[-1, 0]",10.0,265
18,2,"[1, 0]",3.0,34
22,2,"[-1, 0]",10.0,275
6,2,"[-1, 0]",10.0,211
14,2,"[-1, 0]",10.0,268
14,2,"[1, 0]",10.0,108
10,2,"[1, 0]",10.0,127
10,2,"[-1, 0]",3.0,187
18,2,"[-1, 0]",3.0,209
14,2,"[-1, 0]",10.0,218
6,2,"[1, 0]",3.0,56
22,2,"[-1, 0]",3.0,165
18,2,"[1, 0]",10.0,129
6,2,"[1, 0]",3.0,41
6,2,"[1, 0]",3.0,46
10,2,"[1, 0]",3.0,57
18,2,"[1, 0]",10.0,109
6,2,"[1, 0]",10.0,131
22,2,"[1, 0]",10.0,90
6,2,"[-1, 0]",10.0,226
6,2,"[1, 0]",10.0,76
10,2,"[-1, 0]",3.0,162
6,2,"[1, 0]",10.0,91
10,2,"[-1, 0]",3.0,192
14,2,"[-1, 0]",10.0,243
6,2,"[-1, 0]",10.0,261
14,2,"[-1, 0]",3.0,183
6,2,"[-1, 0]",3.0,176
18,2,"[1, 0]",3.0,14
6,2,"[-1, 0]",10.0,221
18,2,"[1, 0]",3.0,9
18,2,"[-1, 0]",3.0,204
22,2,"[-1, 0]",10.0,220
22,2,"[1, 0]",10.0,105
22,2,"[1, 0]",3.0,25
18,2,"[1, 0]",3.0,44
22,2,"[-1, 0]",10.0,235
10,2,"[-1, 0]",3.0,182
10,2,"[-1, 0]",3.0,207
6,2,"[1, 0]",3.0,51
18,2,"[-1, 0]",10.0,234
10,2,"[-1, 0]",10.0,232
22,2,"[1, 0]",3.0,30
6,2,"[1, 0]",10.0,126
10,2,"[-1, 0]",10.0,222
14,2,"[-1, 0]",3.0,198
22,2,"[1, 0]",10.0,140
22,2,"[1, 0]",3.0,40
18,2,"[1, 0]",10.0,134
18,2,"[-1, 0]",10.0,214
14,2,"[1, 0]",3.0,53
14,2,"[1, 0]",3.0,38
6,2,"[-1, 0]",10.0,231
6,2,"[1, 0]",3.0,31
6,2,"[1, 0]",3.0,61
22,2,"[-1, 0]",3.0,200
14,2,"[-1, 0]",3.0,148
14,2,"[1, 0]",10.0,113
22,2,"[1, 0]",3.0,10
22,2,"[1, 0]",3.0,70
10,2,"[-1, 0]",3.0,157
18,2,"[-1, 0]",3.0,164
22,2,"[1, 0]",10.0,120
10,2,"[-1, 0]",3.0,147
6,2,"[-1, 0]",3.0,201
14,2,"[1, 0]",3.0,3
6,2,"[-1, 0]",10.0,271
14,2,"[1, 0]",3.0,63
10,2,"[1, 0]",3.0,47
6,2,"[1, 0]",10.0,111
6,2,"[1, 0]",10.0,71
18,2,"[-1, 0]",3.0,169
18,2,"[-1, 0]",3.0,159
18,2,"[-1, 0]",10.0,224
18,2,"[-1, 0]",3.0,194
14,2,"[1, 0]",10.0,103
6,2,"[-1, 0]",3.0,141
