cue1pos,cue2lag,cueCoords,cueEccentricity,trialNumOriginal
6,2,"[-1, 0]",3.0,161
14,2,"[1, 0]",3.0,68
10,2,"[1, 0]",10.0,127
6,2,"[1, 0]",10.0,116
22,2,"[-1, 0]",3.0,175
22,2,"[-1, 0]",3.0,180
22,2,"[-1, 0]",3.0,185
14,2,"[1, 0]",3.0,43
22,2,"[1, 0]",10.0,90
10,2,"[-1, 0]",3.0,182
22,2,"[-1, 0]",10.0,260
14,2,"[1, 0]",10.0,88
22,2,"[1, 0]",3.0,20
10,2,"[1, 0]",10.0,132
22,2,"[1, 0]",10.0,105
18,2,"[-1, 0]",10.0,274
10,2,"[-1, 0]",10.0,267
6,2,"[-1, 0]",10.0,246
6,2,"[-1, 0]",3.0,171
10,2,"[1, 0]",10.0,117
6,2,"[-1, 0]",10.0,251
14,2,"[1, 0]",3.0,18
18,2,"[1, 0]",10.0,89
14,2,"[1, 0]",3.0,13
22,2,"[1, 0]",3.0,30
14,2,"[-1, 0]",10.0,223
18,2,"[1, 0]",10.0,104
22,2,"[1, 0]",10.0,135
14,2,"[-1, 0]",3.0,158
14,2,"[-1, 0]",3.0,168
10,2,"[1, 0]",10.0,112
18,2,"[1, 0]",3.0,34
14,2,"[1, 0]",10.0,93
22,2,"[1, 0]",3.0,25
14,2,"[-1, 0]",10.0,243
22,2,"[1, 0]",3.0,70
10,2,"[-1, 0]",3.0,142
10,2,"[-1, 0]",10.0,277
22,2,"[1, 0]",3.0,5
18,2,"[1, 0]",3.0,44
18,2,"[-1, 0]",3.0,184
10,2,"[1, 0]",3.0,52
6,2,"[-1, 0]",3.0,186
22,2,"[1, 0]",10.0,75
6,2,"[1, 0]",10.0,126
18,2,"[1, 0]",3.0,49
10,2,"[-1, 0]",10.0,212
18,2,"[1, 0]",10.0,94
22,2,"[-1, 0]",3.0,155
22,2,"[-1, 0]",10.0,280
6,2,"[1, 0]",3.0,16
6,2,"[1, 0]",3.0,21
22,2,"[1, 0]",10.0,110
18,2,"[-1, 0]",3.0,189
14,2,"[1, 0]",10.0,128
22,2,"[-1, 0]",10.0,275
14,2,"[1, 0]",10.0,123
22,2,"[1, 0]",3.0,65
14,2,"[1, 0]",10.0,133
14,2,"[1, 0]",3.0,28
14,2,"[1, 0]",10.0,83
6,2,"[-1, 0]",3.0,176
14,2,"[-1, 0]",10.0,248
14,2,"[1, 0]",3.0,58
22,2,"[-1, 0]",3.0,205
6,2,"[1, 0]",10.0,131
6,2,"[1, 0]",10.0,86
14,2,"[-1, 0]",10.0,233
22,2,"[1, 0]",10.0,80
18,2,"[-1, 0]",3.0,174
22,2,"[1, 0]",10.0,85
10,2,"[1, 0]",3.0,27
10,2,"[1, 0]",10.0,87
6,2,"[1, 0]",10.0,101
18,2,"[-1, 0]",3.0,159
18,2,"[1, 0]",3.0,14
6,2,"[-1, 0]",10.0,211
22,2,"[-1, 0]",10.0,220
14,2,"[-1, 0]",3.0,173
6,2,"[-1, 0]",10.0,231
6,2,"[1, 0]",10.0,136
18,2,"[-1, 0]",10.0,259
10,2,"[-1, 0]",3.0,167
14,2,"[-1, 0]",10.0,258
18,2,"[1, 0]",10.0,99
18,2,"[-1, 0]",3.0,164
