Duration,Response,Stimulus condition,Eccentricity
1.25,1.7440325830248185,0,"[3, 0]"
0.975,0.9600120859977324,1,"[-3, 0]"
0.975,0.7920276670192834,0,"[3, 0]"
1.45,1.2239803440170363,3,"[-12, 0]"
1.05,1.1439437120279763,3,"[-12, 0]"
1.05,1.071961907990044,2,"[12, 0]"
1.125,1.2080001060094219,0,"[3, 0]"
0.75,0.5519666990148835,0,"[3, 0]"
0.975,0.8000286679889541,3,"[-12, 0]"
0.825,0.53602414301713,1,"[-3, 0]"
0.975,1.2160222249804065,0,"[3, 0]"
0.825,0.9520465730165597,2,"[12, 0]"
0.75,1.07200388199999,3,"[-12, 0]"
0.9,1.0159593089774717,3,"[-12, 0]"
0.825,0.8880104240088258,3,"[-12, 0]"
0.75,0.16803034700569697,0,"[3, 0]"
0.975,0.7760797079827171,2,"[12, 0]"
0.825,0.4880119420122355,0,"[3, 0]"
1.125,1.175966729002539,0,"[3, 0]"
0.75,0.9839951109897811,1,"[-3, 0]"
0.825,0.9279100250278134,0,"[3, 0]"
1.125,1.2559409080131445,2,"[12, 0]"
0.75,1.1760157189855818,1,"[-3, 0]"
1.05,0.9040349229762796,1,"[-3, 0]"
0.825,1.1360359590034932,3,"[-12, 0]"
1.375,0.8960121889831498,0,"[3, 0]"
0.75,0.9200041540025268,1,"[-3, 0]"
0.75,0.8080097399943043,2,"[12, 0]"
0.9,0.8641125590074807,2,"[12, 0]"
0.975,1.1040137389791198,3,"[-12, 0]"
0.75,1.040004445007071,2,"[12, 0]"
1.05,0.8320294549921528,1,"[-3, 0]"
0.75,0.8720387059729546,0,"[3, 0]"
1.125,0.592018850002205,1,"[-3, 0]"
1.25,1.3520386010059156,2,"[12, 0]"
0.825,1.0480297350150067,0,"[3, 0]"
0.825,0.912032330990769,3,"[-12, 0]"
1.125,0.9679539169883355,1,"[-3, 0]"
0.9,1.192046484007733,3,"[-12, 0]"
0.825,0.6719721170084085,0,"[3, 0]"
1.25,1.0800552079745103,2,"[12, 0]"
1.25,1.5760431659873575,3,"[-12, 0]"
0.75,0.9119892110174987,1,"[-3, 0]"
0.75,1.0080494280264247,3,"[-12, 0]"
0.975,0.9199577670078725,3,"[-12, 0]"
0.825,0.6639500460005365,2,"[12, 0]"
0.975,0.791979375993833,2,"[12, 0]"
1.45,1.5199912730022334,2,"[12, 0]"
0.825,0.80004923598608,0,"[3, 0]"
0.75,0.8319899320194963,2,"[12, 0]"
0.825,1.128058731002966,2,"[12, 0]"
0.75,0.839887733978685,0,"[3, 0]"
0.975,0.9599509660038166,0,"[3, 0]"
0.9,0.9600056700001005,3,"[-12, 0]"
0.75,0.8720260449917987,0,"[3, 0]"
0.9,0.8560510070237797,0,"[3, 0]"
0.9,0.5600739940127824,2,"[12, 0]"
0.9,0.7599809049861506,2,"[12, 0]"
0.9,1.1680353989941068,0,"[3, 0]"
1.05,0.9200120010063984,2,"[12, 0]"
1.05,1.2400582169939298,2,"[12, 0]"
0.75,0.8720695739903022,1,"[-3, 0]"
0.75,1.087979023985099,0,"[3, 0]"
0.75,0.8320145389880054,2,"[12, 0]"
1.125,1.0160119550128002,0,"[3, 0]"
0.75,1.0000890340015758,1,"[-3, 0]"
1.375,1.0399987970013171,2,"[12, 0]"
0.75,1.0880046850070357,3,"[-12, 0]"
0.75,1.0720206440018956,2,"[12, 0]"
0.825,1.1440758839889895,2,"[12, 0]"
0.75,0.5920056090108119,1,"[-3, 0]"
0.825,0.9039544459956232,2,"[12, 0]"
0.825,0.47999319501104765,1,"[-3, 0]"
0.75,0.6080287679797038,0,"[3, 0]"
0.9,0.6400499910232611,0,"[3, 0]"
1.125,1.1119746460171882,3,"[-12, 0]"
0.9,1.0000507160148118,3,"[-12, 0]"
0.825,0.7279800279939082,1,"[-3, 0]"
0.75,0.5279637720086612,2,"[12, 0]"
0.825,0.5280594300129451,3,"[-12, 0]"
1.05,1.0400031939789187,0,"[3, 0]"
