Duration,Response,Stimulus condition,Eccentricity
1.05,0.8719798750007612,2,"[12, 0]"
0.9,0.6320352849998017,1,"[-3, 0]"
1.375,1.2319449759997951,2,"[12, 0]"
1.375,1.2640610179987561,0,"[3, 0]"
1.375,1.0000140789998113,2,"[12, 0]"
1.45,1.2800001710002107,3,"[-12, 0]"
0.825,0.6160364320003282,2,"[12, 0]"
0.75,0.6639566750000085,2,"[12, 0]"
0.75,0.6560273670002061,1,"[-3, 0]"
0.75,0.5759566650012857,3,"[-12, 0]"
0.75,0.4639809290001722,3,"[-12, 0]"
0.75,0.47993847299949266,3,"[-12, 0]"
0.975,0.8399837559991283,1,"[-3, 0]"
0.9,0.5919705470005283,1,"[-3, 0]"
1.525,1.1920205959995656,0,"[3, 0]"
1.05,0.935981021999396,3,"[-12, 0]"
0.9,0.8560806990008132,3,"[-12, 0]"
1.375,1.016042049999669,0,"[3, 0]"
0.975,0.7439965160010615,0,"[3, 0]"
0.825,0.7759400030008692,3,"[-12, 0]"
1.525,1.3360034209999867,1,"[-3, 0]"
1.25,1.1760211830005574,3,"[-12, 0]"
1.45,1.5999986700007867,0,"[3, 0]"
1.125,1.1840444280005613,1,"[-3, 0]"
0.75,0.7519651639995573,0,"[3, 0]"
0.975,0.7841011380005511,3,"[-12, 0]"
1.05,0.8640083829996001,1,"[-3, 0]"
0.9,0.9920729789992038,0,"[3, 0]"
1.05,0.9759561699993355,2,"[12, 0]"
1.525,1.5439886989988736,1,"[-3, 0]"
0.9,0.6880049270002928,2,"[12, 0]"
1.05,0.8959908580000047,1,"[-3, 0]"
1.125,1.0560026220009604,2,"[12, 0]"
1.375,1.0240721300015139,0,"[3, 0]"
0.75,0.7200141119992622,1,"[-3, 0]"
1.25,1.2239425309999206,2,"[12, 0]"
1.125,1.072016647000055,3,"[-12, 0]"
1.45,1.2000146259997564,1,"[-3, 0]"
0.9,0.9280450180012849,0,"[3, 0]"
0.9,1.112063152000701,2,"[12, 0]"
1.375,1.2719648769998457,2,"[12, 0]"
1.375,1.0640406920010719,0,"[3, 0]"
1.45,1.4720777259990427,0,"[3, 0]"
1.525,1.3519895669996913,0,"[3, 0]"
0.75,0.9999632879989804,2,"[12, 0]"
0.825,1.0239422810009273,2,"[12, 0]"
0.75,0.8080347220002295,0,"[3, 0]"
1.375,1.2479761480008165,3,"[-12, 0]"
1.525,1.1840149579984427,2,"[12, 0]"
1.05,0.9279569080008514,1,"[-3, 0]"
0.825,1.0080748540003697,2,"[12, 0]"
0.825,0.8800117610007874,2,"[12, 0]"
0.9,0.8559074940003484,2,"[12, 0]"
0.9,0.8640061280002556,1,"[-3, 0]"
0.825,0.8080507419999776,1,"[-3, 0]"
0.825,0.8799912869999389,3,"[-12, 0]"
0.9,0.767997662000198,3,"[-12, 0]"
1.45,1.1599959129998751,3,"[-12, 0]"
