Duration,Response,Stimulus condition
0.9,0.6721267820103094,2
1.05,0.8400005489966134,0
1.525,1.0959968820097856,0
0.825,0.4080157370044617,2
0.975,0.7680349230067804,0
0.75,0.6000000799976988,0
1.25,0.783998529004748,0
1.45,1.208000519007328,1
1.525,1.1681239450117573,2
0.75,0.5359975970059168,0
0.825,0.5999978770123562,1
1.45,0.9361263049941044,2
1.375,0.7599958189966856,0
0.9,0.5521328290051315,2
1.125,0.8159899679885712,1
1.25,1.0239947240042966,0
0.825,0.7039987689931877,0
1.45,1.3279990979935974,0
1.125,0.8719882689911174,1
1.45,1.2559969540016027,0
0.9,0.9281103620014619,0
0.825,0.5279884900082834,0
1.25,0.9041176799946697,2
1.45,1.1120365819951985,0
1.525,1.3359826160012744,0
0.825,0.8641267560014967,0
0.9,0.632028852996882,1
0.9,0.8479893710027682,1
1.525,1.256029772994225,0
0.75,0.6000307520007482,0
0.75,0.45611076599743683,2
0.75,0.5121328999957768,2
1.375,0.9679964699898846,0
1.05,0.7199947750050342,1
0.825,0.7360014769947156,0
1.125,1.0321170599927427,2
1.05,0.9839986110018799,0
0.825,0.6880300440097926,1
1.45,1.0081208470073761,2
0.75,0.7921164840081474,0
0.9,0.4881303900037892,2
1.25,1.0961312199942768,2
1.375,1.2401205580099486,2
1.375,1.2479966479877476,1
0.975,0.8241280160000315,2
1.125,0.8321291299944278,2
1.25,1.151999337002053,0
1.05,0.8240281619946472,1
0.975,0.7680300170031842,0
0.75,0.407999019997078,1
1.525,1.2160308239981532,1
0.9,0.9441153329971712,1
1.375,0.7199965690087993,1
1.375,1.0320188900077483,2
1.25,1.0880171430035261,1
1.45,1.0879974089912139,0
0.75,0.7120258179929806,1
1.125,0.9359958429995459,0
1.45,1.127994602007675,0
1.25,1.2161296430131188,2
1.25,1.0319974910089513,1
1.45,1.1599977979931282,0
1.05,0.8479962769924896,0
1.125,1.047998515990912,1
1.45,1.2880269259912893,1
0.9,0.7679990060132695,0
1.375,1.0226867940073134,0
1.05,0.9599991440045414,0
1.25,1.0959926830109907,0
1.525,1.192002752010012,0
0.825,0.823998116000439,0
0.75,0.5760279589885613,0
0.825,0.7119971570064081,1
0.9,0.8479997760005062,0
0.75,0.8401221550011542,0
0.975,0.7601318689994514,2
1.45,1.2161282070010202,2
1.125,1.127995816001203,0
1.375,1.263997387010022,0
1.05,1.0240306630003033,0
1.25,1.048005906995968,0
1.125,1.0719999559951248,0
0.975,0.9759952689928468,0
1.05,0.9441152649960713,2
1.375,1.0959996870078612,0
1.05,0.960143103991868,2
0.9,0.9521290039992891,0
1.525,1.207993191012065,1
0.975,0.9280071709945332,2
1.375,1.2241223929886473,2
0.75,0.4880105860065669,2
0.825,0.7760747989959782,2
0.9,1.0321239790064283,0
0.975,0.5999985889939126,1
1.525,1.0321283059893176,2
1.125,0.8401273589988705,2
1.375,0.9120299970090855,1
1.125,0.7280004659987753,0
1.25,0.8880288920045132,1
0.75,0.5600313249888131,1
1.525,0.9841240410023602,2
0.975,0.7840294199995697,1
1.525,1.311988528992515,1
1.375,1.1280026070016902,0
0.825,0.7199823440023465,0
0.975,0.7999990690004779,0
1.05,0.7279982400068548,1
1.125,0.927988939001807,0
1.05,0.6799968050036114,0
1.525,1.1439983090094756,0
1.45,1.2399896870047087,1
0.825,0.52812684699893,2
1.525,1.3439956140064169,0
0.9,0.7599928330018884,0
0.975,0.9759977619978599,0
0.975,0.9119998370006215,0
1.25,1.063995894000982,0
0.975,1.1441263089946005,1
1.05,0.6481307550129713,2
1.125,1.0000008089991752,0
