Duration,Stimulus_condition,Response
0.975,1,0.36028511
0.9,2,0.651961059
0.9,0,0.889513965
1.45,1,1.130027779
1.375,0,1.274285905
1.125,0,1.075866077
1.375,0,1.29817864
0.975,2,0.722820408
1.125,2,0.989186997
1.125,2,1.062088816
0.825,0,0.662505559
1.05,1,0.85469255
0.75,2,0.784981637
1.45,0,0.963400283
0.975,1,0.947204753
0.975,1,0.839749955
1.25,2,1.192200657
1.375,0,1.320937559
0.825,2,0.81670822
1.05,0,0.942154997
0.975,0,0.932619731
1.525,2,1.31926766
1.525,1,1.20230004
1.375,1,1.251948876
1.525,2,1.391559771
1.525,1,1.447647887
1.45,2,1.335173503
0.75,1,0.78885155
0.9,2,0.848121303
0.825,1,0.809221144
1.05,2,0.885618368
0.9,0,0.580939178
0.975,0,1.022540166
1.25,2,0.809190167
1.525,0,1.490907533
1.45,1,1.202665895
1.25,0,1.242161981
1.525,1,1.169763179
1.25,1,1.185810459
1.125,1,1.090000001
1.525,0,1.322316587
1.45,0,1.337206052
1.45,1,1.21190985
0.975,2,0.658828665
0.825,0,0.427145847
1.525,0,1.291792029
1.45,0,1.151899864
0.9,1,0.686164271
1.525,0,1.24842748
1.05,0,0.569319541
0.9,0,0.687847039
0.75,2,0.442055525
1.525,0,1.305954667
1.25,0,1.195097341
0.75,2,0.684656204
0.75,0,0.782246306
0.75,1,0.815542778
0.9,0,0.551501409
0.75,0,0.437976374
1.25,1,0.969056451
1.45,2,1.126770825
0.75,0,0.434445928
1.375,0,1.019480504
0.9,0,0.610177482
1.125,0,0.943095364
1.25,0,0.917046083
1.45,2,1.051967603
1.05,0,0.937190943
0.75,0,0.605915988
0.9,2,0.722374372
1.05,0,0.974868835
1.125,0,1.045974929
0.9,1,0.917854901
0.975,0,0.682345694
0.9,1,0.891181942
1.45,0,1.117861833
0.825,1,0.627671072
1.05,2,0.573134951
1.05,0,0.823957253
1.25,0,1.000551408
1.525,2,1.122729228
1.05,1,0.870741119
1.525,0,1.1558543
1.375,2,1.161882226
0.825,0,0.514370636
1.45,0,0.896404317
0.9,0,0.616452218
0.75,0,0.491844874
1.25,0,0.931729873
1.05,1,0.819585272
1.375,1,1.023964091
1.45,0,1.235350004
1.125,0,0.758183165
1.125,1,0.959638544
1.125,2,1.017649018
0.975,2,0.64547048
1.25,1,0.171035025
1.375,0,1.087223929
1.125,0,0.77935417
1.125,1,0.847585135
1.05,0,0.572670003
1.375,0,0.91198589
0.75,1,0.544101194
0.825,2,0.63872736
0.825,0,0.76799317
0.75,0,0.751657185
0.975,0,0.607384804
0.975,0,1.014738603
1.25,0,0.907394234
0.825,0,0.580401291
0.825,2,0.684943248
1.375,1,1.118131261
1.375,2,1.287720102
0.825,1,0.733059903
1.125,0,0.829633127
1.375,2,0.999393076
0.975,0,0.827821531
1.05,2,1.038575628
1.25,2,1.196314229
0.825,0,0.789005537
