Duration,Stimulus_condition,Response
1.525,2,1.23576351
1.375,2,1.253308725
1.25,1,1.154443135
1.375,1,1.417877217
0.825,0,0.788758949
1.25,0,1.185582009
1.375,1,1.281156174
0.825,0,0.887564001
1.525,1,1.242365972
0.825,2,0.615077448
0.975,0,0.748132211
1.25,0,1.164092435
0.75,0,0.595997327
1.45,0,1.375445465
0.9,2,0.748985235
1.05,2,1.011133031
1.525,0,1.517146436
1.05,2,0.968962935
0.825,2,0.730673215
0.825,1,0.725878813
0.75,0,0.712296653
1.05,0,1.056333219
0.9,1,0.764584218
0.975,2,0.840670045
1.25,2,1.168288024
1.375,2,1.13562273
1.375,0,1.391506806
1.25,2,1.156718581
0.75,0,0.743581243
1.525,0,1.355957449
0.825,0,0.677112562
1.525,0,1.325715033
1.25,0,1.174540584
0.825,1,0.793485366
0.9,0,0.820551721
1.125,0,1.13375075
1.525,2,1.29607176
1.125,1,0.905629101
0.75,2,0.652776517
1.375,0,1.160581189
0.975,1,0.954617944
0.75,0,0.73077928
0.9,2,0.91310643
1.25,0,1.237045718
0.975,2,0.734294756
1.525,2,1.430800012
1.125,0,1.082263075
1.375,0,1.409279668
0.825,1,0.720581025
0.975,1,1.026276474
1.125,0,1.015468297
1.375,2,1.228120321
0.9,2,0.800996279
0.9,0,0.806777995
1.45,0,1.563045672
0.9,0,0.79298208
1.25,0,1.092854267
1.05,0,0.841188477
0.75,2,0.613192829
1.125,0,1.068702734
1.525,0,1.391137106
1.25,2,0.915468657
0.75,1,0.66117895
0.975,0,0.964095023
1.05,2,0.724011357
1.125,2,0.976224704
0.825,0,0.833873971
1.45,2,1.192247267
1.25,0,1.267001207
0.75,1,0.726351781
0.975,1,0.949114109
0.75,2,0.758631556
1.05,0,0.743094372
1.525,1,1.361860758
1.05,0,1.021261731
1.45,1,1.353062986
1.375,1,1.223814658
1.375,0,1.231009178
0.975,0,0.897946762
1.125,1,0.951186365
0.825,2,0.80246991
1.05,0,1.036562512
0.975,2,0.896799885
1.125,1,1.079570189
1.05,1,1.034487403
1.45,0,1.443568012
1.375,0,1.266575216
0.9,1,0.797262324
1.525,1,1.379841999
1.25,1,1.349871264
0.975,0,1.032989532
1.45,1,1.303439948
1.125,0,1.114360491
1.375,0,1.299421798
1.125,2,0.829504838
0.75,0,0.704021289
0.75,0,0.781473497
1.525,0,1.367640731
0.825,0,0.654282829
1.45,2,0.954184381
1.45,0,1.142532994
0.9,0,0.816008156
1.125,2,0.728082193
1.45,0,1.020030975
1.125,0,1.071588208
0.825,0,0.803228046
0.975,0,0.881204159
0.9,0,0.862350202
1.45,0,1.401893737
1.05,1,0.881944502
1.05,1,1.07882712
0.975,0,0.953919868
1.25,1,0.97942819
0.9,1,0.978699481
0.9,0,0.856862668
1.05,0,0.95225265
1.525,0,1.339515694
0.75,1,0.787971638
1.45,2,1.147223724
1.45,1,1.064277269
