Duration,Response,Stimulus condition,OddBall Onset
0.75,0.6239984559360892,0.0,0.0
1.525,0.9039982610847801,0.0,0.0
1.05,0.6160361859947443,0.0,0.0
1.05,0.8640008638612926,2.0,0.4
0.825,0.6159840689506382,0.0,0.0
1.45,0.9280192889273167,1.0,0.6
0.825,0.7999472110532224,2.0,0.4
0.75,0.6560167830903083,1.0,0.4
1.375,0.8239285100717098,0.0,0.0
1.375,0.9760695770382881,2.0,0.0
0.75,1.1919820071198046,2.0,
1.05,0.6720022500958294,0.0,0.0
1.05,0.6480021809693426,2.0,0.6
1.125,0.6719493670389056,0.0,0.0
0.9,0.5919923551846296,0.0,0.0
1.45,0.8400321369990706,0.0,0.0
1.45,0.9520112001337111,0.0,0.0
1.25,0.8800092008896172,0.0,0.0
1.25,0.9120871440973133,1.0,0.6
1.525,0.9280317679513246,0.0,0.0
1.25,0.8159749929327518,2.0,0.6
1.125,0.7120127989910543,0.0,0.0
0.75,0.40797024802304804,1.0,0.0
1.125,0.7520514719653875,1.0,0.4
1.45,0.7199685170780867,1.0,0.0
0.9,0.8000907921232283,2.0,0.6
0.9,0.6959844122175127,0.0,0.0
0.9,0.6320548369549215,1.0,0.0
0.975,0.7120201680809259,2.0,0.6
1.25,0.8559993510134518,1.0,0.0
1.375,0.8959222631528974,0.0,0.0
0.975,0.7200288239400834,0.0,0.0
0.9,0.9120250809937716,2.0,0.0
1.125,0.9200394591316581,0.0,0.0
0.75,0.7760230149142444,2.0,
1.05,0.752018379047513,0.0,0.0
1.45,0.887993150157854,2.0,0.4
1.375,0.7360148038715124,0.0,0.0
0.825,0.7280228990130126,2.0,0.6
1.45,0.7280195329803973,0.0,0.0
1.375,1.1680011211428791,0.0,0.0
1.05,0.8399546889122576,0.0,0.0
1.525,0.9680239951703697,1.0,0.0
0.9,0.03194937785156071,0.0,0.0
1.525,0.7359989690594375,1.0,0.4
1.05,0.6959382349159569,0.0,0.0
1.125,0.8880356720183045,2.0,0.6
1.45,0.9519964789506048,1.0,0.4
1.25,0.8879473051056266,1.0,0.4
1.525,0.8159672289621085,0.0,0.0
1.125,0.8720372279640287,0.0,0.0
0.75,0.7760377728845924,1.0,
1.45,1.0880693818908185,2.0,0.6
0.825,0.7999822641722858,2.0,0.0
0.975,0.4639426579233259,0.0,0.0
1.45,0.9919626680202782,2.0,0.0
0.825,0.8800526179838926,0.0,
1.25,0.6079955368768424,0.0,0.0
1.375,1.2000305519904941,1.0,0.4
0.75,0.5839956281706691,0.0,0.0
1.525,1.1440535520669073,2.0,0.0
0.9,0.8480318540241569,0.0,0.0
1.125,0.9519909599330276,2.0,0.4
0.9,0.815974396886304,0.0,0.0
1.25,1.0879283940885216,2.0,0.0
0.975,1.0319725370500237,1.0,
0.75,0.7519754469394684,0.0,0.0
0.9,0.6560052919667214,1.0,0.6
1.125,0.7679909311700612,2.0,0.0
0.975,0.9600482250098139,2.0,0.0
1.125,0.7199321668595076,1.0,0.6
1.375,1.0320276271086186,2.0,0.6
1.25,0.8319727929774672,0.0,0.0
1.375,0.8400416430085897,0.0,0.0
0.825,0.5839939871802926,0.0,0.0
1.05,0.8639826599974185,2.0,0.0
1.375,1.0320243209134787,2.0,0.4
1.45,0.9519262770190835,0.0,0.0
0.9,0.6879395381547511,0.0,0.0
1.25,1.0000071520917118,2.0,0.4
1.125,0.8320055759977549,1.0,0.0
0.975,0.7679357070010155,1.0,0.6
1.525,1.1040780839975923,2.0,0.6
0.825,0.688034252030775,0.0,0.0
0.975,0.9200669699348509,1.0,0.0
1.525,1.2480177760589868,1.0,0.6
1.05,0.8479719781316817,1.0,0.6
1.125,0.863977411063388,0.0,0.0
0.825,0.743999628117308,1.0,0.0
0.975,0.9039654498919845,2.0,0.4
1.525,0.9840478592086583,0.0,0.0
0.825,0.784003253094852,0.0,0.0
0.9,0.8720131309237331,1.0,0.4
1.25,0.783953821985051,0.0,0.0
0.825,0.9760698769241571,1.0,
1.525,1.1200482049025595,2.0,0.4
1.05,0.8399837899487466,1.0,0.4
1.375,0.9919540910050273,0.0,0.0
1.525,1.0079620608594269,0.0,0.0
1.375,0.9599813979584724,1.0,0.6
0.975,0.9600538038648665,0.0,0.0
1.05,0.7359761481638998,0.0,0.0
1.45,1.024002755060792,0.0,0.0
0.975,0.911987948929891,0.0,0.0
0.75,0.7440219160635024,0.0,0.0
0.75,0.7359363299328834,2.0,0.0
1.45,1.0319440448656678,0.0,0.0
0.825,0.7680018059909344,1.0,0.6
0.975,0.8960232180543244,0.0,0.0
0.825,0.8880176960956305,0.0,
1.25,0.9759647089522332,0.0,0.0
0.975,0.7599624709691852,0.0,0.0
0.9,0.8559793860185891,2.0,0.4
1.125,0.7839846289716661,0.0,0.0
1.525,0.9119987280573696,0.0,0.0
1.25,0.9680389449931681,0.0,0.0
0.75,0.5199974079150707,0.0,0.0
0.75,0.6160362509544939,0.0,0.0
1.375,0.8959633079357445,1.0,0.0
1.05,0.79996413202025,1.0,0.0
