Duration,Response,Stimulus condition
1.375,0.8880365339573473,1
1.45,0.7279980760067701,1
0.825,0.38397424295544624,1
1.375,0.5599480250384659,1
0.975,0.55999853706453,1
0.75,0.408034228021279,0
0.75,0.43997476203367114,1
0.75,0.40799631900154054,1
1.25,0.6000752049731091,1
1.125,0.4720090109622106,1
1.25,0.7280770540237427,1
1.05,0.6640020780032501,1
1.375,0.5679708060342818,1
1.45,0.5520105960313231,1
1.05,0.3519943240098655,1
0.9,0.08801235805731267,0
0.825,0.4720589970238507,1
0.75,0.31203579204156995,0
1.125,0.31203410506714135,1
0.9,0.2880545580992475,1
0.975,0.2719431419391185,1
1.525,0.23997607408091426,1
1.25,0.2799916679505259,1
1.525,0.5200283949961886,0
0.825,0.23204209399409592,1
1.45,0.511979159899056,0
0.75,0.3839632630115375,1
0.9,0.5280072710011154,0
1.375,0.656027027987875,0
1.525,0.39994665898848325,1
0.975,0.27200949494726956,0
0.9,0.4160212429706007,1
1.25,0.5359773880336434,0
0.75,0.2480336989974603,0
1.25,0.47200288192834705,0
0.9,0.2639705380424857,0
1.05,0.3839968891115859,1
0.825,0.5039372009923682,0
1.125,0.5200318640563637,0
1.125,0.7200390399666503,0
1.25,0.5600174469873309,1
1.125,0.5200192879419774,0
1.05,0.4959438999649137,0
0.825,0.35198219201993197,1
0.975,0.30398254294414073,0
1.125,0.5440034070052207,1
0.975,0.4800048070028424,1
1.375,0.5520085679600015,1
1.45,0.5359633030602708,0
1.525,0.4079338579904288,0
1.375,0.4880435699597001,0
0.75,0.5440224959747866,1
1.375,0.45595738396514207,0
1.05,0.4720804860116914,1
1.525,0.48811253206804395,0
0.75,0.3680038029560819,0
0.825,0.24000950797926635,0
1.45,0.41605390899349004,0
0.9,0.3600411079823971,0
1.525,0.34404086600989103,1
1.375,0.5120602729730308,0
0.975,0.47200700000394136,0
1.05,0.47197845694608986,0
1.25,0.49601102608721703,0
0.75,0.4480088669806719,0
1.45,0.4719614880159497,1
0.975,0.35997629608027637,0
1.525,0.4799577749799937,1
1.375,0.37598115007858723,1
0.75,0.35201670706737787,1
0.9,0.4400729020126164,1
0.825,0.3679989200318232,0
0.825,0.4159342459170148,0
1.25,0.38401029200758785,1
1.45,0.4079397899331525,1
0.975,0.3679964490002021,1
1.125,0.2960413839900866,0
1.525,0.47201855201274157,1
1.05,0.5599894310580567,0
1.125,0.44801979896146804,0
1.05,0.463955685030669,1
1.05,0.4079903169767931,0
1.45,0.5599696110002697,0
1.375,0.48798739595804363,0
1.125,0.4319814241025597,1
1.125,0.4160346769494936,1
1.05,0.2719421989750117,0
0.825,0.5359638119116426,1
1.525,0.7039961259579286,0
0.9,0.5200516009936109,0
1.45,0.8399619449628517,0
0.9,0.15199545805808157,1
1.525,0.7359742519911379,0
0.975,0.39202258200384676,1
1.45,0.4480101929511875,1
1.25,0.6320526909548789,0
1.25,0.6399490819312632,0
0.9,0.4079711700323969,1
0.825,0.41593656805343926,0
0.975,0.47994709201157093,0
