X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Firefox,525,null,null,1044,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,0
Firefox,1050,null,null,1033,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,1
Firefox,675,null,null,1044,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,0
Firefox,900,null,null,1038,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,0
Firefox,450,null,null,961,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,0
Firefox,975,null,null,1005,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,1
Firefox,600,null,null,1018,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,0
Firefox,825,null,null,955,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,0
Firefox,750,null,null,979,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,0
Firefox,600,null,null,987,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,0
Firefox,975,null,null,1026,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,1
Firefox,525,null,null,1005,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,0
Firefox,825,null,null,1037,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,0
Firefox,675,null,null,951,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,0
Firefox,900,null,null,1033,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,1
Firefox,450,null,null,1037,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,0
Firefox,750,null,null,1046,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,0
Firefox,1050,null,null,1016,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,1
Firefox,750,null,null,978,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,0
Firefox,450,null,null,1042,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,0
Firefox,525,null,null,966,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,0
Firefox,675,null,null,1017,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,0
Firefox,900,null,null,986,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey,1
Firefox,600,null,null,996,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,0
Firefox,825,null,null,968,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd,1
Firefox,1050,null,null,1030,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,1
Firefox,975,2019-07-12T17:00:11.904Z,no problems,1003,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red,0
