X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,825,null,null,1038,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,900,null,null,979,76,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,1
Chrome,450,null,null,1011,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,0
Chrome,600,null,null,1000,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,0
Chrome,750,null,null,1031,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,0
Chrome,975,null,null,1021,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,675,null,null,990,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,0
Chrome,1050,null,null,1028,76,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,1
Chrome,525,null,null,953,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,450,null,null,955,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,975,null,null,974,76,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,1
Chrome,825,null,null,989,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,0
Chrome,1050,null,null,1046,76,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,1
Chrome,525,null,null,973,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,0
Chrome,900,null,null,950,76,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,1
Chrome,600,null,null,1019,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,675,null,null,978,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,0
Chrome,750,null,null,983,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,0
Chrome,900,null,null,1014,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,675,null,null,1030,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,600,null,null,956,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,0
Chrome,450,null,null,960,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,0
Chrome,750,null,null,1038,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,spikey,0
Chrome,825,null,null,966,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,0
Chrome,975,null,null,1044,76,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,1
Chrome,525,null,null,1015,83,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,red,0
Chrome,1050,2019-07-12T17:22:37.046Z,,1033,76,2019-07-12T17:11:59.521Z,A21RG48A9K95AM,odd,1
