X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,825,null,null,984,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,0
Chrome,750,null,null,1027,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,0
Chrome,525,null,null,983,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,450,null,null,1012,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,900,null,null,1043,76,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,1
Chrome,600,null,null,961,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,1050,null,null,1041,76,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,1
Chrome,975,null,null,952,76,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,1
Chrome,675,null,null,1024,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,0
Chrome,525,null,null,1011,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,0
Chrome,825,null,null,998,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,0
Chrome,1050,null,null,1022,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,0
Chrome,600,null,null,995,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,450,null,null,1011,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,900,null,null,1005,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,675,null,null,969,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,0
Chrome,750,null,null,1049,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,0
Chrome,975,null,null,983,76,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,1
Chrome,900,null,null,1013,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,450,null,null,991,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,0
Chrome,525,null,null,1047,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,0
Chrome,750,null,null,1038,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,0
Chrome,825,null,null,981,76,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,spikey,1
Chrome,600,null,null,989,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,0
Chrome,1050,null,null,976,83,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,0
Chrome,975,null,null,1042,76,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,red,1
Chrome,675,2019-07-12T15:09:46.712Z,,972,76,2019-07-12T14:58:12.129Z,A22AHPN2HZHFSV,odd,1
