X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,900,null,null,984,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,0
Chrome,450,null,null,958,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,0
Chrome,600,null,null,1005,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,0
Chrome,1050,null,null,987,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,1
Chrome,525,null,null,990,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,0
Chrome,675,null,null,967,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,0
Chrome,825,null,null,1032,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,1
Chrome,750,null,null,997,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,0
Chrome,975,null,null,1034,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,1
Chrome,975,null,null,1025,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,1
Chrome,525,null,null,997,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,0
Chrome,600,null,null,1043,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,0
Chrome,1050,null,null,974,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,1
Chrome,450,null,null,981,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,0
Chrome,900,null,null,1003,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,1
Chrome,750,null,null,965,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,0
Chrome,825,null,null,999,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,0
Chrome,675,null,null,951,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,0
Chrome,825,null,null,1007,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,0
Chrome,975,null,null,962,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,1
Chrome,750,null,null,994,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,0
Chrome,1050,null,null,1024,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,1
Chrome,675,null,null,957,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,spikey,0
Chrome,525,null,null,1003,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,0
Chrome,600,null,null,962,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,0
Chrome,450,null,null,1045,83,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,odd,0
Chrome,900,2019-07-12T16:58:16.240Z,,970,76,2019-07-12T16:46:44.459Z,A26L7403RHRQP8,red,1
