X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,525,null,null,1046,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,1
Chrome,825,null,null,954,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,0
Chrome,675,null,null,1008,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,1
Chrome,450,null,null,1002,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,1
Chrome,900,null,null,952,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,1
Chrome,975,null,null,964,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,1
Chrome,600,null,null,1032,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,0
Chrome,1050,null,null,996,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,1
Chrome,750,null,null,1022,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,1
Chrome,900,null,null,1023,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,1
Chrome,525,null,null,1018,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,1
Chrome,1050,null,null,985,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,1
Chrome,975,null,null,1007,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,1
Chrome,450,null,null,1013,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,1
Chrome,825,null,null,1049,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,0
Chrome,600,null,null,975,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,0
Chrome,750,null,null,999,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,1
Chrome,675,null,null,953,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,0
Chrome,975,null,null,959,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,0
Chrome,600,null,null,959,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,1
Chrome,750,null,null,1007,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,0
Chrome,900,null,null,980,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,0
Chrome,825,null,null,997,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,1
Chrome,450,null,null,956,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red,0
Chrome,675,null,null,1046,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd,1
Chrome,525,null,null,1036,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,1
Chrome,1050,2019-07-12T17:10:10.465Z,very interesting. ,1003,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey,0
