X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1012,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,1
Chrome,975,null,null,1015,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,0
Chrome,525,null,null,994,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,1
Chrome,825,null,null,1027,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,0
Chrome,450,null,null,999,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,0
Chrome,750,null,null,989,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,0
Chrome,600,null,null,972,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,1
Chrome,675,null,null,981,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,1
Chrome,900,null,null,1047,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,0
Chrome,450,null,null,997,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,1
Chrome,1050,null,null,1018,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,1
Chrome,675,null,null,953,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,1
Chrome,600,null,null,1048,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,1
Chrome,975,null,null,991,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,0
Chrome,825,null,null,1039,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,0
Chrome,525,null,null,1002,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,0
Chrome,900,null,null,1020,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,1
Chrome,750,null,null,1001,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,0
Chrome,975,null,null,993,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,0
Chrome,825,null,null,983,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,1
Chrome,750,null,null,1016,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,0
Chrome,450,null,null,1041,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,1
Chrome,600,null,null,988,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,1
Chrome,525,null,null,959,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,0
Chrome,900,null,null,975,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,red,0
Chrome,675,null,null,1021,83,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,spikey,0
Chrome,1050,2019-07-12T15:06:34.208Z,,993,76,2019-07-12T14:56:58.114Z,A397QMUM40C4SH,odd,1
