X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,600,null,null,1039,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,0
Chrome,525,null,null,1037,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,1
Chrome,450,null,null,973,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,0
Chrome,1050,null,null,1032,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,1
Chrome,900,null,null,1021,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,1
Chrome,975,null,null,966,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,0
Chrome,750,null,null,1038,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,0
Chrome,675,null,null,1045,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,1
Chrome,825,null,null,954,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,0
Chrome,675,null,null,1013,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,0
Chrome,600,null,null,994,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,0
Chrome,975,null,null,997,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,1
Chrome,525,null,null,951,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,0
Chrome,825,null,null,1038,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,0
Chrome,450,null,null,985,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,0
Chrome,900,null,null,1021,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,0
Chrome,1050,null,null,990,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,1
Chrome,750,null,null,1030,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,1
Chrome,900,null,null,1025,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,1
Chrome,975,null,null,1030,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,1
Chrome,1050,null,null,1019,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,0
Chrome,825,null,null,998,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,1
Chrome,600,null,null,1047,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd,0
Chrome,675,null,null,1005,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,0
Chrome,750,null,null,1012,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red,1
Chrome,450,null,null,961,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,0
Chrome,525,2019-07-12T16:49:46.891Z,,995,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey,0
