X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,675,null,null,981,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,0
Chrome,825,null,null,1001,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,1
Chrome,750,null,null,1049,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,1
Chrome,900,null,null,962,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,0
Chrome,1050,null,null,1047,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,0
Chrome,975,null,null,1015,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,1
Chrome,450,null,null,1036,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,1
Chrome,600,null,null,1018,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,0
Chrome,525,null,null,958,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,0
Chrome,825,null,null,1024,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,1
Chrome,450,null,null,976,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,0
Chrome,600,null,null,994,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,0
Chrome,1050,null,null,995,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,0
Chrome,975,null,null,1047,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,1
Chrome,900,null,null,1038,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,0
Chrome,525,null,null,974,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,0
Chrome,675,null,null,991,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,0
Chrome,750,null,null,1020,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,0
Chrome,825,null,null,1018,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,0
Chrome,750,null,null,994,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,0
Chrome,975,null,null,1015,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,red,0
Chrome,675,null,null,989,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,0
Chrome,1050,null,null,1002,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,0
Chrome,600,null,null,1031,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,0
Chrome,525,null,null,972,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,spikey,1
Chrome,900,null,null,1031,83,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,0
Chrome,450,2019-07-12T17:18:37.862Z,None,1016,76,2019-07-12T16:49:35.197Z,AARRC49LFF1O,odd,1
