X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,750,null,null,991,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,0
Chrome,975,null,null,994,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,1
Chrome,450,null,null,1015,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,0
Chrome,675,null,null,1036,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,1
Chrome,1050,null,null,1031,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,1
Chrome,600,null,null,998,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,0
Chrome,825,null,null,955,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,0
Chrome,900,null,null,1020,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,1
Chrome,525,null,null,1020,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,0
Chrome,675,null,null,990,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,1
Chrome,825,null,null,989,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,0
Chrome,600,null,null,1002,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,0
Chrome,900,null,null,1042,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,0
Chrome,525,null,null,1010,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,0
Chrome,975,null,null,973,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,1
Chrome,450,null,null,979,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,0
Chrome,750,null,null,996,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,0
Chrome,1050,null,null,998,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,0
Chrome,900,null,null,999,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,1
Chrome,675,null,null,951,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,0
Chrome,750,null,null,1034,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,spikey,1
Chrome,525,null,null,1042,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,0
Chrome,1050,null,null,997,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,1
Chrome,600,null,null,1040,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,1
Chrome,825,null,null,1042,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,0
Chrome,450,null,null,1025,83,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,odd,0
Chrome,975,2019-07-12T17:13:48.832Z,,1049,76,2019-07-12T17:03:32.929Z,AY9ZVK32I1P1L,red,1
