X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,900,null,null,1035,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,0
Chrome,450,null,null,1004,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,975,null,null,986,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,0
Chrome,1050,null,null,967,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,1
Chrome,525,null,null,1040,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,0
Chrome,600,null,null,1032,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,0
Chrome,825,null,null,984,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,750,null,null,1012,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,675,null,null,1029,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,1
Chrome,450,null,null,1038,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,750,null,null,1004,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,1
Chrome,1050,null,null,955,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,1
Chrome,525,null,null,1041,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,900,null,null,980,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,1
Chrome,600,null,null,986,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,0
Chrome,675,null,null,977,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,0
Chrome,975,null,null,992,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,1
Chrome,825,null,null,972,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,825,null,null,977,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,1
Chrome,450,null,null,991,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,0
Chrome,600,null,null,1022,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,900,null,null,1002,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
Chrome,975,null,null,997,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,1
Chrome,675,null,null,1029,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,0
Chrome,1050,null,null,998,76,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,1
Chrome,750,null,null,1003,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,odd,0
Chrome,525,2019-07-11T19:17:46.710Z,,967,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,red,0
