X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Firefox,600,null,null,954,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,0
Firefox,900,null,null,1019,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
Firefox,1050,null,null,986,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,1
Firefox,675,null,null,1006,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,0
Firefox,825,null,null,1000,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,0
Firefox,975,null,null,1038,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
Firefox,750,null,null,1023,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,1
Firefox,450,null,null,1040,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,0
Firefox,525,null,null,996,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,0
Firefox,675,null,null,962,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,1
Firefox,1050,null,null,1003,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,1
Firefox,825,null,null,1006,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
Firefox,900,null,null,992,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
Firefox,450,null,null,955,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,1
Firefox,975,null,null,1035,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,1
Firefox,600,null,null,1017,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,0
Firefox,525,null,null,1042,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,1
Firefox,750,null,null,998,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
Firefox,825,null,null,1024,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,1
Firefox,450,null,null,990,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,0
Firefox,900,null,null,1004,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,1
Firefox,750,null,null,1041,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
Firefox,1050,null,null,1038,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,1
Firefox,600,null,null,995,76,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,spikey,1
Firefox,975,null,null,1018,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,odd,0
Firefox,675,null,null,970,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
Firefox,525,2019-07-11T19:21:32.154Z,,979,83,2019-07-11T18:46:51.274Z,A1NCSZCN8EA787,red,0
