X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,450,null,null,1030,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,1
Chrome,825,null,null,1002,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,0
Chrome,1050,null,null,1015,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,1
Chrome,525,null,null,1043,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,0
Chrome,675,null,null,1037,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,0
Chrome,975,null,null,982,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,1
Chrome,750,null,null,1033,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,0
Chrome,600,null,null,970,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,0
Chrome,900,null,null,1014,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,1
Chrome,525,null,null,1039,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,0
Chrome,600,null,null,1027,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,0
Chrome,675,null,null,954,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,0
Chrome,975,null,null,982,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,1
Chrome,450,null,null,1003,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,0
Chrome,825,null,null,951,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,0
Chrome,900,null,null,996,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,1
Chrome,750,null,null,1032,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,0
Chrome,1050,null,null,1009,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,1
Chrome,450,null,null,1047,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,0
Chrome,1050,null,null,1011,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,0
Chrome,975,null,null,968,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,0
Chrome,825,null,null,1049,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,spikey,0
Chrome,900,null,null,1041,76,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,1
Chrome,525,null,null,1022,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,0
Chrome,600,null,null,1045,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,odd,0
Chrome,675,null,null,950,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,0
Chrome,750,2019-07-10T17:13:03.975Z,no problems,1003,83,2019-07-10T16:59:40.230Z,A1ROEDVMTO9Y3X,red,0
