X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,825,null,null,992,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,0
Chrome,1050,null,null,978,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,1
Chrome,525,null,null,972,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,0
Chrome,975,null,null,1036,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,1
Chrome,675,null,null,973,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,0
Chrome,900,null,null,1002,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,1
Chrome,750,null,null,1030,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,0
Chrome,600,null,null,1038,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,0
Chrome,450,null,null,988,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,0
Chrome,600,null,null,954,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,0
Chrome,1050,null,null,1004,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,1
Chrome,825,null,null,1046,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,1
Chrome,975,null,null,998,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,1
Chrome,525,null,null,1031,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,0
Chrome,750,null,null,981,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,0
Chrome,675,null,null,987,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,1
Chrome,450,null,null,1022,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,0
Chrome,900,null,null,1030,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,1
Chrome,675,null,null,1031,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,0
Chrome,450,null,null,1010,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,0
Chrome,600,null,null,1016,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,0
Chrome,825,null,null,1021,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,1
Chrome,975,null,null,963,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,1
Chrome,525,null,null,979,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,0
Chrome,1050,null,null,1006,76,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,spikey,1
Chrome,750,null,null,1046,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,red,0
Chrome,900,2019-07-11T18:48:31.740Z,No issues.,987,83,2019-07-11T18:37:34.560Z,A2KB6FKENIRVWV,odd,0
