X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,450,null,null,962,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,0
Chrome,900,null,null,1004,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,1
Chrome,975,null,null,980,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,1
Chrome,825,null,null,1020,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,1
Chrome,750,null,null,985,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,0
Chrome,1050,null,null,1010,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,0
Chrome,675,null,null,1002,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,0
Chrome,600,null,null,984,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,1
Chrome,525,null,null,956,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,0
Chrome,750,null,null,959,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,0
Chrome,525,null,null,957,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,0
Chrome,450,null,null,1006,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,0
Chrome,1050,null,null,1006,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,1
Chrome,825,null,null,1046,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,1
Chrome,675,null,null,1038,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,1
Chrome,600,null,null,993,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,0
Chrome,900,null,null,1030,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,1
Chrome,975,null,null,1032,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,1
Chrome,525,null,null,965,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,0
Chrome,600,null,null,1003,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,0
Chrome,900,null,null,1019,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,1
Chrome,825,null,null,955,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,0
Chrome,1050,null,null,1036,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,1
Chrome,975,null,null,1049,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,1
Chrome,750,null,null,956,76,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,odd,1
Chrome,675,null,null,981,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,red,0
Chrome,450,2019-07-10T16:49:53.231Z,fun study,955,83,2019-07-10T16:39:09.274Z,A2RHE12CJSKCRE,spikey,0
