X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,600,null,null,975,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,0
Chrome,525,null,null,971,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,0
Chrome,825,null,null,1037,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,1
Chrome,975,null,null,997,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,1
Chrome,750,null,null,1032,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,0
Chrome,900,null,null,969,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,1
Chrome,1050,null,null,1048,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,1
Chrome,450,null,null,1018,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,0
Chrome,675,null,null,1034,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,0
Chrome,975,null,null,957,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,1
Chrome,450,null,null,974,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,0
Chrome,825,null,null,963,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,1
Chrome,525,null,null,1028,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,0
Chrome,1050,null,null,1019,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,1
Chrome,750,null,null,1031,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,0
Chrome,600,null,null,991,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,0
Chrome,675,null,null,1008,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,0
Chrome,900,null,null,1048,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,1
Chrome,750,null,null,979,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,0
Chrome,450,null,null,966,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,0
Chrome,1050,null,null,960,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,1
Chrome,825,null,null,981,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,red,1
Chrome,900,null,null,970,76,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,1
Chrome,525,null,null,990,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,0
Chrome,675,null,null,1019,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,odd,0
Chrome,975,null,null,1017,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,0
Chrome,600,2019-07-10T17:13:58.428Z,,994,83,2019-07-10T17:04:06.543Z,A36UFZOEMNO9GJ,spikey,0
