X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,825,null,null,999,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,0
Chrome,1050,null,null,1028,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,1
Chrome,525,null,null,950,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,0
Chrome,450,null,null,1008,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,0
Chrome,750,null,null,958,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,1
Chrome,600,null,null,998,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,1
Chrome,900,null,null,977,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,1
Chrome,975,null,null,999,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,1
Chrome,675,null,null,1013,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,0
Chrome,600,null,null,1025,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,0
Chrome,825,null,null,987,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,1
Chrome,525,null,null,1026,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,0
Chrome,900,null,null,997,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,1
Chrome,675,null,null,995,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,1
Chrome,750,null,null,969,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,0
Chrome,1050,null,null,1023,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,1
Chrome,975,null,null,1049,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,1
Chrome,450,null,null,983,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,0
Chrome,825,null,null,1040,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,1
Chrome,525,null,null,969,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,0
Chrome,600,null,null,959,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,0
Chrome,900,null,null,1004,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,1
Chrome,975,null,null,1035,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,1
Chrome,450,null,null,995,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,0
Chrome,1050,null,null,996,76,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,spikey,1
Chrome,675,null,null,1036,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,red,0
Chrome,750,2019-07-11T18:52:40.513Z,,987,83,2019-07-11T18:42:38.422Z,ABBP9JASL9AGK,odd,0
