X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,450,null,null,1034,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,0
Chrome,1050,null,null,1019,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,1
Chrome,900,null,null,982,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,1
Chrome,825,null,null,1005,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,0
Chrome,600,null,null,953,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,0
Chrome,525,null,null,1037,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,0
Chrome,750,null,null,962,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,1
Chrome,975,null,null,1042,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,1
Chrome,675,null,null,967,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,0
Chrome,1050,null,null,1036,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,1
Chrome,675,null,null,974,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,0
Chrome,600,null,null,978,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,0
Chrome,750,null,null,1010,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,0
Chrome,525,null,null,1016,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,0
Chrome,900,null,null,1040,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,0
Chrome,825,null,null,979,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,1
Chrome,975,null,null,962,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,1
Chrome,450,null,null,999,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,0
Chrome,675,null,null,989,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,1
Chrome,750,null,null,954,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,1
Chrome,825,null,null,1020,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,1
Chrome,525,null,null,1002,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,0
Chrome,975,null,null,983,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,0
Chrome,900,null,null,984,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red,0
Chrome,450,null,null,1042,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,0
Chrome,1050,null,null,965,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey,1
Chrome,600,2019-07-09T23:17:24.791Z,,1032,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd,0
