X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,450,null,null,967,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,900,null,null,966,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,1
Chrome,675,null,null,997,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,0
Chrome,825,null,null,1019,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,975,null,null,970,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,1
Chrome,1050,null,null,960,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,525,null,null,1001,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,1
Chrome,600,null,null,996,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,0
Chrome,750,null,null,1049,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,0
Chrome,900,null,null,1016,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,675,null,null,993,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,825,null,null,1040,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,1
Chrome,450,null,null,1042,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,0
Chrome,600,null,null,958,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,0
Chrome,525,null,null,1020,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,0
Chrome,750,null,null,1008,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,1
Chrome,975,null,null,1012,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,0
Chrome,1050,null,null,1026,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,1
Chrome,750,null,null,1011,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,675,null,null,1042,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,0
Chrome,525,null,null,987,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,975,null,null,951,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,1
Chrome,825,null,null,1023,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,0
Chrome,450,null,null,1013,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,0
Chrome,600,null,null,1004,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,red,0
Chrome,1050,null,null,991,76,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,odd,1
Chrome,900,2019-07-10T16:57:39.717Z,A couple of practice tries would have helped just to understand exactly what the directions meant.,1004,83,2019-07-10T16:40:01.571Z,A11Q8U6QTT8KGF,spikey,0
Chrome,900,null,null,1035,83,2019-07-11T19:01:14.885Z,A14WLAP6TCEKO0,spikey,0
