X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Firefox,525,null,null,1044,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,1050,null,null,1033,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,675,null,null,1044,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,900,null,null,1038,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,450,null,null,961,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,975,null,null,1005,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,600,null,null,1018,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,825,null,null,955,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,750,null,null,979,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,600,null,null,987,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,975,null,null,1026,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,525,null,null,1005,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,825,null,null,1037,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,675,null,null,951,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,900,null,null,1033,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,450,null,null,1037,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,750,null,null,1046,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,1050,null,null,1016,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,750,null,null,978,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,450,null,null,1042,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,525,null,null,966,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,675,null,null,1017,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,900,null,null,986,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,spikey
Firefox,600,null,null,996,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,825,null,null,968,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,odd
Firefox,1050,null,null,1030,76,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
Firefox,975,2019-07-12T17:00:11.904Z,no problems,1003,83,2019-07-12T16:48:50.622Z,A19L8SNH73AX1Z,red
