X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,750,null,null,975,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,1050,null,null,992,76,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,825,null,null,974,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,450,null,null,1020,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,675,null,null,970,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,900,null,null,1036,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,600,null,null,978,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,975,null,null,1015,76,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,525,null,null,991,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,675,null,null,1026,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,975,null,null,1037,76,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,525,null,null,993,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,750,null,null,1028,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,1050,null,null,955,76,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,825,null,null,1013,76,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,900,null,null,970,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,450,null,null,997,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,600,null,null,1021,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,900,null,null,1022,76,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,600,null,null,972,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,525,null,null,981,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,975,null,null,1018,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,red
Chrome,1050,null,null,1026,76,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,450,null,null,1044,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,750,null,null,971,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
Chrome,675,null,null,983,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,spikey
Chrome,825,2019-07-10T16:59:41.613Z,no problems,964,83,2019-07-10T16:49:23.833Z,A1BH6H9WRK49I,odd
