X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1033,83,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,975,null,null,1040,83,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,450,null,null,1008,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,900,null,null,992,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,525,null,null,968,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,675,null,null,1001,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,825,null,null,1046,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,750,null,null,1042,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,600,null,null,1027,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,525,null,null,1010,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,750,null,null,1018,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,675,null,null,978,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,975,null,null,1018,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,900,null,null,999,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,450,null,null,980,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,825,null,null,972,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,1050,null,null,976,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,600,null,null,1030,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,825,null,null,1002,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,900,null,null,1038,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,675,null,null,1049,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,975,null,null,1046,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,1050,null,null,1019,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,525,null,null,1014,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,spikey
Chrome,750,null,null,981,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,red
Chrome,450,null,null,1042,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
Chrome,600,2019-07-11T21:41:36.926Z,,1000,76,2019-07-11T21:30:34.837Z,A1C6NTK19FBQO0,odd
