X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,525,null,null,973,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,0
Chrome,975,null,null,964,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,0
Chrome,825,null,null,977,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,0
Chrome,600,null,null,983,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,0
Chrome,750,null,null,996,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,0
Chrome,1050,null,null,1009,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,0
Chrome,900,null,null,950,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,0
Chrome,675,null,null,1030,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,0
Chrome,450,null,null,1019,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,0
Chrome,525,null,null,994,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,0
Chrome,450,null,null,1000,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,0
Chrome,825,null,null,1020,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,1
Chrome,900,null,null,978,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,1
Chrome,600,null,null,972,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,0
Chrome,675,null,null,1029,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,0
Chrome,975,null,null,984,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,1
Chrome,750,null,null,954,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,0
Chrome,1050,null,null,1041,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,1
Chrome,675,null,null,957,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,1
Chrome,900,null,null,1047,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,1
Chrome,825,null,null,1024,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,1
Chrome,975,null,null,994,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,1
Chrome,750,null,null,999,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,1
Chrome,450,null,null,1009,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,spikey,0
Chrome,1050,null,null,969,76,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,odd,1
Chrome,600,null,null,1003,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,0
Chrome,525,2019-07-11T19:11:58.682Z,There are no problems.,1034,83,2019-07-11T18:58:41.423Z,A1ERMRNNR0CZ2Y,red,0
