X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,957,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,999,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,1038,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,1033,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,977,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,991,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,970,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,1043,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,977,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,955,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,996,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,1024,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,980,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,1039,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,957,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,1000,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,961,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,972,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,1020,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,1020,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,null,null,1018,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,973,83,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
Chrome,1050,null,null,976,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,1012,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,1048,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,spikey
Chrome,1050,null,null,1022,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,odd
Chrome,1050,2019-07-12T19:36:31.959Z,"No problems, but I'll be seeing spots all night!  :)",1019,76,2019-07-12T19:24:51.173Z,A1K5ILJMG439M5,red
