X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,675,null,null,1039,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,750,null,null,966,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,1050,null,null,1026,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,525,null,null,1032,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,900,null,null,1015,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,600,null,null,995,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,825,null,null,1010,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,450,null,null,1027,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,975,null,null,1019,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,600,null,null,1044,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,525,null,null,970,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,825,null,null,1011,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,450,null,null,976,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,900,null,null,1045,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,750,null,null,962,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,1050,null,null,1035,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,975,null,null,995,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,675,null,null,988,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,675,null,null,960,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,1050,null,null,956,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,450,null,null,1002,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,525,null,null,953,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,975,null,null,956,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
Chrome,600,null,null,1044,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,odd
Chrome,750,null,null,1007,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,825,null,null,982,83,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,spikey
Chrome,900,2019-07-11T22:01:19.448Z,,1049,76,2019-07-11T21:29:14.463Z,A1KFNSMZBQRK1H,red
