X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1024,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,997,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,965,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,972,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,1024,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,1020,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,957,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,963,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,1015,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,976,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,960,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,961,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,977,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,1026,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,971,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,1027,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,1008,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,989,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,969,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,991,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,1029,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,1049,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,spikey
Chrome,1050,null,null,1000,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,969,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
Chrome,1050,null,null,974,83,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,null,null,976,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,odd
Chrome,1050,2019-07-12T19:20:36.737Z,thank you,1044,76,2019-07-12T19:09:37.645Z,A1LOUZD99NZCT2,red
