X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,900,null,null,1011,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,1050,null,null,960,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,675,null,null,966,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,450,null,null,1046,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,750,null,null,1015,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,975,null,null,980,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,600,null,null,979,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,525,null,null,952,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,825,null,null,958,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,900,null,null,1010,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,525,null,null,1022,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,825,null,null,1041,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,600,null,null,986,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,975,null,null,1029,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,1050,null,null,976,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,450,null,null,1001,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,750,null,null,1035,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,675,null,null,1009,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,975,null,null,978,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,525,null,null,996,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,675,null,null,993,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,825,null,null,998,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,600,null,null,1003,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,750,null,null,978,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,red
Chrome,450,null,null,1010,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,spikey
Chrome,900,null,null,976,76,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
Chrome,1050,2019-07-12T15:24:33.854Z,,1002,83,2019-07-12T15:10:41.305Z,A1P2RQ166VS5BT,odd
