X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1013,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,1016,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,958,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,983,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,1008,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,1008,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,1035,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,997,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,958,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,1048,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,970,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,966,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,1026,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,996,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,981,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,996,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,1041,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,1025,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,1001,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,1002,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,979,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,980,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,963,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
Chrome,1050,null,null,1033,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,odd
Chrome,1050,null,null,1046,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,null,null,1049,83,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,red
Chrome,1050,2019-07-12T19:27:05.227Z,"In some cases it was difficult to differentiate the speed, the oddball and the black disk moved with the same velocity.",971,76,2019-07-12T19:12:31.758Z,A1Q93PSB62TXO9,spikey
