X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1017,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,1018,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,1006,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,1021,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,993,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,960,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,962,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,1049,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,978,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,957,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,1019,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,1029,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,1020,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,961,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,1010,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,1029,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,1001,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,977,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,1015,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,1035,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,1034,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,1002,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,1003,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,null,null,1002,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
Chrome,1050,null,null,1007,83,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,odd
Chrome,1050,null,null,1049,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,red
Chrome,1050,2019-07-12T19:54:24.106Z,,1008,76,2019-07-12T19:43:35.387Z,A1QO37IHT7ZQBT,spikey
