X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Firefox,1050,null,null,999,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,1006,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,1000,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,1020,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,955,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,1046,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,999,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,957,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,971,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,1034,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,1030,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,1012,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,1017,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,960,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,1036,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,987,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,988,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,1018,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,1026,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,1036,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,1026,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,1045,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
Firefox,1050,null,null,988,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,997,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,null,null,1036,83,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,red
Firefox,1050,null,null,980,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,odd
Firefox,1050,2019-07-12T19:24:35.298Z,,978,76,2019-07-12T19:13:48.645Z,A1QVNF19XSRSD7,spikey
