X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,975,null,null,1018,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,825,null,null,968,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,525,null,null,1014,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,450,null,null,967,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,900,null,null,1004,76,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,600,null,null,1014,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,1050,null,null,1008,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,750,null,null,969,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,675,null,null,1037,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,675,null,null,987,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,450,null,null,1033,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,825,null,null,1010,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,525,null,null,1009,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,975,null,null,1045,76,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,600,null,null,1023,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,1050,null,null,956,76,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,750,null,null,995,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,900,null,null,1010,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,600,null,null,957,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,975,null,null,1008,76,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,825,null,null,979,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,900,null,null,994,76,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,750,null,null,1012,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,red
Chrome,450,null,null,976,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,1050,null,null,973,76,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
Chrome,525,null,null,1023,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,spikey
Chrome,675,2019-07-11T20:16:01.193Z,Several of the strange shapes seemed to last exactly the same amount of time as the black ones.,1039,83,2019-07-11T20:04:58.440Z,A270HX8LH9LJ8W,odd
