X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1028,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,1029,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,1044,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,1010,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,null,null,1039,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,null,null,975,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,1027,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,990,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,993,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,null,null,1010,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,965,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,null,null,1009,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,1039,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,978,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,1048,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,null,null,966,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,953,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,968,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,null,null,976,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,1046,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,992,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,974,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,991,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,spikey
Chrome,1050,null,null,955,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,null,null,1032,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,red
Chrome,1050,null,null,1021,83,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
Chrome,1050,2019-07-12T21:01:51.081Z,Thank you and have a wonderful weekend!,1011,76,2019-07-12T20:50:32.143Z,A27HGM9SULA4BC,odd
