X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,966,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,1038,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,1019,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,988,76,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,990,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,976,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,969,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,1001,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,1040,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,1020,76,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,1041,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,1005,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,985,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,951,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,961,76,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,954,76,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,1047,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,1019,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,951,76,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,995,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,950,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,974,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,1040,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
Chrome,1050,null,null,1011,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,null,null,1009,83,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,red
Chrome,1050,null,null,1034,76,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,odd
Chrome,1050,2019-07-12T19:26:46.182Z,very good,1037,76,2019-07-12T19:15:59.041Z,A2AJX9RMXPP9PW,spikey
