X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,955,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,1042,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,954,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,955,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,1035,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,1000,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,1049,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,951,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,1024,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,1009,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,965,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,994,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,984,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,1046,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,1014,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,985,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,1004,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,1011,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,950,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,1014,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,961,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,978,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,1027,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
Chrome,1050,null,null,1014,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,null,null,1042,76,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,spikey
Chrome,1050,null,null,992,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,red
Chrome,1050,2019-07-12T19:27:20.113Z,,1025,83,2019-07-12T19:17:31.363Z,A2BTV5K5YMXMB8,odd
