X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1045,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,954,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,null,null,985,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,null,null,1013,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,null,null,954,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,964,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,992,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,954,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,1030,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,995,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,1021,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,1045,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,null,null,967,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,989,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,981,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,null,null,983,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,1043,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,954,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,null,null,985,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,1035,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,990,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,1002,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,red
Chrome,1050,null,null,1000,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,null,null,965,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,1003,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,odd
Chrome,1050,null,null,983,76,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
Chrome,1050,2019-07-12T21:48:09.154Z,Thank you very much!,1047,83,2019-07-12T21:37:50.327Z,A2FBT0BSFOV91D,spikey
