X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,825,null,null,964,83,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,975,null,null,991,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,450,null,null,1027,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,600,null,null,976,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,750,null,null,993,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,1050,null,null,956,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,525,null,null,954,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,675,null,null,1035,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,900,null,null,1014,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,600,null,null,976,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,450,null,null,1012,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,1050,null,null,996,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,975,null,null,988,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,750,null,null,955,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,900,null,null,1002,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,825,null,null,1024,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,675,null,null,956,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,525,null,null,994,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,525,null,null,971,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,450,null,null,998,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,750,null,null,988,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,1050,null,null,1005,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,825,null,null,1010,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,red
Chrome,900,null,null,1047,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,975,null,null,1018,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
Chrome,600,null,null,1034,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,spikey
Chrome,675,2019-07-11T21:42:07.789Z,,1005,76,2019-07-11T21:31:30.923Z,A2ID4B3JMUWAP7,odd
