X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,975,null,null,983,76,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,825,null,null,954,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,900,null,null,989,76,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,1050,null,null,1049,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,675,null,null,1001,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,750,null,null,1039,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,600,null,null,965,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,450,null,null,961,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,525,null,null,1039,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,1050,null,null,968,76,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,825,null,null,996,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,750,null,null,1048,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,525,null,null,1046,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,900,null,null,992,76,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,450,null,null,1007,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,975,null,null,983,76,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,675,null,null,1047,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,600,null,null,968,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,450,null,null,1001,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,900,null,null,992,76,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,525,null,null,1046,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
Chrome,600,null,null,1024,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,675,null,null,997,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,750,null,null,964,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,825,null,null,1002,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,odd
Chrome,975,null,null,997,83,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,spikey
Chrome,1050,2019-07-11T20:41:13.830Z,,1023,76,2019-07-11T20:23:43.715Z,A2LF84L3K71GR2,red
