X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,750,null,null,985,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,450,null,null,963,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,1050,null,null,1010,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,900,null,null,1044,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,975,null,null,988,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,675,null,null,1014,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,600,null,null,961,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,825,null,null,1049,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,525,null,null,1004,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,525,null,null,997,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,600,null,null,968,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,450,null,null,1030,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,675,null,null,1025,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,1050,null,null,1010,76,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,750,null,null,983,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,825,null,null,1027,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,975,null,null,993,76,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,900,null,null,1043,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,825,null,null,1047,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,675,null,null,970,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,600,null,null,1037,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,1050,null,null,1015,76,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,750,null,null,979,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,450,null,null,969,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,spikey
Chrome,900,null,null,1029,76,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,red
Chrome,975,null,null,969,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
Chrome,525,2019-07-11T20:45:11.668Z,,981,83,2019-07-11T20:34:15.870Z,A2NXHJ905WLGAA,odd
