X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1005,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,1036,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,1029,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,982,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,null,null,964,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,981,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,966,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,1022,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,null,null,959,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,null,null,1032,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,978,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,null,null,1004,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,null,null,1019,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,1045,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,989,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,960,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,1014,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,null,null,1031,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,1030,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,1016,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,1013,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,1004,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,red
Chrome,1050,null,null,1011,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,1042,83,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,odd
Chrome,1050,null,null,966,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,null,null,1014,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
Chrome,1050,2019-07-12T19:49:41.598Z,,1043,76,2019-07-12T19:39:12.945Z,A2P065E9CYMYJL,spikey
