X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Firefox,525,null,null,1029,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,675,null,null,1035,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,975,null,null,984,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,750,null,null,975,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,825,null,null,1019,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,450,null,null,1015,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,600,null,null,1039,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,1050,null,null,1036,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,900,null,null,981,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,600,null,null,970,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,450,null,null,993,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,525,null,null,965,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,975,null,null,966,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,825,null,null,1044,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,900,null,null,1044,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,675,null,null,969,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,750,null,null,1045,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,1050,null,null,1048,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,675,null,null,996,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,750,null,null,997,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,900,null,null,966,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,1050,null,null,1029,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,450,null,null,1021,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,600,null,null,983,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,red
Firefox,825,null,null,962,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,odd
Firefox,975,null,null,1049,76,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
Firefox,525,2019-07-10T00:10:50.398Z,,1022,83,2019-07-09T23:47:24.312Z,A2WWYVKGZZXBOB,spikey
