X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,525,null,null,1046,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,825,null,null,954,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,675,null,null,1008,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,450,null,null,1002,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,900,null,null,952,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,975,null,null,964,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,600,null,null,1032,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,1050,null,null,996,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,750,null,null,1022,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,900,null,null,1023,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,525,null,null,1018,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,1050,null,null,985,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,975,null,null,1007,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,450,null,null,1013,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,825,null,null,1049,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,600,null,null,975,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,750,null,null,999,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,675,null,null,953,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,975,null,null,959,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,600,null,null,959,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,750,null,null,1007,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,900,null,null,980,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,825,null,null,997,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,450,null,null,956,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,red
Chrome,675,null,null,1046,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,odd
Chrome,525,null,null,1036,76,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
Chrome,1050,2019-07-12T17:10:10.465Z,very interesting. ,1003,83,2019-07-12T16:53:04.074Z,A2ZZQRRYT7G586,spikey
